 x 	V[Y|X = x] 
0	0.0298015
0.003	0.0299926
0.006	0.0303317
0.009	0.0306849
0.012	0.0310522
0.015	0.0314333
0.018	0.0318279
0.021	0.0322356
0.024	0.0326559
0.027	0.0330879
0.03	0.0335308
0.033	0.0339836
0.036	0.034445
0.039	0.0349136
0.042	0.0353879
0.045	0.035866
0.048	0.0363461
0.051	0.0368261
0.054	0.0373035
0.057	0.0377761
0.06	0.0382413
0.063	0.0386963
0.066	0.0391385
0.069	0.039565
0.072	0.0399731
0.075	0.0403598
0.078	0.0407226
0.081	0.0410587
0.084	0.0413657
0.087	0.0416412
0.09	0.0418831
0.093	0.0420897
0.096	0.0422593
0.099	0.0423908
0.102	0.0424832
0.105	0.0425361
0.108	0.0425492
0.111	0.0425229
0.114	0.0424577
0.117	0.0423544
0.12	0.0422145
0.123	0.0420393
0.126	0.0418309
0.129	0.0415913
0.132	0.0413227
0.135	0.0410277
0.138	0.0407088
0.141	0.0403687
0.144	0.0400101
0.147	0.0396357
0.15	0.0392482
0.153	0.0388503
0.156	0.0384444
0.159	0.0380331
0.162	0.0376186
0.165	0.0372031
0.168	0.0367885
0.171	0.0363768
0.174	0.0359695
0.177	0.0355681
0.18	0.035174
0.183	0.0347883
0.186	0.0344119
0.189	0.0340457
0.192	0.0336904
0.195	0.0333465
0.198	0.0330144
0.201	0.0326945
0.204	0.0323869
0.207	0.0320916
0.21	0.0319655
0.213	0.0321464
0.216	0.0323354
0.219	0.0325326
0.222	0.032738
0.225	0.0329514
0.228	0.0331727
0.231	0.0334018
0.234	0.0336382
0.237	0.0338817
0.24	0.0341316
0.243	0.0343874
0.246	0.0346484
0.249	0.0349137
0.252	0.0351824
0.255	0.0354533
0.258	0.0357254
0.261	0.0359973
0.264	0.0362675
0.267	0.0365346
0.27	0.0367968
0.273	0.0370525
0.276	0.0372998
0.279	0.0375369
0.282	0.037762
0.285	0.0379732
0.288	0.0381687
0.291	0.0383465
0.294	0.0385052
0.297	0.038643
0.3	0.0387585
0.303	0.0388505
0.306	0.0389178
0.309	0.0389595
0.312	0.0389751
0.315	0.0389642
0.318	0.0389266
0.321	0.0388624
0.324	0.038772
0.327	0.0386562
0.33	0.0385157
0.333	0.0383517
0.336	0.0381655
0.339	0.0379586
0.342	0.0377326
0.345	0.0374892
0.348	0.0372305
0.351	0.0369581
0.354	0.0366742
0.357	0.0363806
0.36	0.0360793
0.363	0.0357721
0.366	0.035461
0.369	0.0351476
0.372	0.0348335
0.375	0.0345203
0.378	0.0342094
0.381	0.0339021
0.384	0.0335995
0.387	0.0333027
0.39	0.0330124
0.393	0.0327296
0.396	0.0324549
0.399	0.0321888
0.402	0.0319317
0.405	0.0316839
0.408	0.0314457
0.411	0.0312173
0.414	0.0309987
0.417	0.03079
0.42	0.0308252
0.423	0.0310357
0.426	0.031258
0.429	0.0314923
0.432	0.0317388
0.435	0.0319977
0.438	0.0322692
0.441	0.0325533
0.444	0.0328497
0.447	0.0331585
0.45	0.0334792
0.453	0.0338113
0.456	0.0341543
0.459	0.0345073
0.462	0.0348693
0.465	0.0352392
0.468	0.0356156
0.471	0.0359968
0.474	0.036381
0.477	0.0367662
0.48	0.0371502
0.483	0.0375305
0.486	0.0379045
0.489	0.0382694
0.492	0.0386223
0.495	0.0389601
0.498	0.0392799
0.501	0.0395785
0.504	0.0398529
0.507	0.0401002
0.51	0.0403176
0.513	0.0405025
0.516	0.0406526
0.519	0.040766
0.522	0.040841
0.525	0.0408763
0.528	0.0408712
0.531	0.0408254
0.534	0.0407389
0.537	0.0406123
0.54	0.0404466
0.543	0.0402433
0.546	0.0400043
0.549	0.0397316
0.552	0.0394279
0.555	0.0390959
0.558	0.0387385
0.561	0.0383588
0.564	0.0379601
0.567	0.0375453
0.57	0.0371179
0.573	0.0366808
0.576	0.0362371
0.579	0.0357896
0.582	0.0353409
0.585	0.0348936
0.588	0.0344499
0.591	0.0340118
0.594	0.0335812
0.597	0.0331596
0.6	0.0327484
0.603	0.0323487
0.606	0.0319614
0.609	0.0315874
0.612	0.0312271
0.615	0.030881
0.618	0.0305493
0.621	0.0302321
0.624	0.0299617
0.627	0.0300656
0.63	0.0301742
0.633	0.0302874
0.636	0.0304053
0.639	0.030528
0.642	0.0306552
0.645	0.030787
0.648	0.0309231
0.651	0.0310634
0.654	0.0312074
0.657	0.0313549
0.66	0.0315054
0.663	0.0316582
0.666	0.0318127
0.669	0.0319681
0.672	0.0321236
0.675	0.0322781
0.678	0.0324307
0.681	0.03258
0.684	0.0327249
0.687	0.0328639
0.69	0.0329957
0.693	0.0331189
0.696	0.033232
0.699	0.0333334
0.702	0.0334219
0.705	0.033496
0.708	0.0335544
0.711	0.0335961
0.714	0.0336199
0.717	0.0336251
0.72	0.033611
0.723	0.0335773
0.726	0.0335236
0.729	0.0334502
0.732	0.0333573
0.735	0.0332453
0.738	0.0331151
0.741	0.0329677
0.744	0.0328041
0.747	0.0326257
0.75	0.0324339
0.753	0.0322303
0.756	0.0320165
0.759	0.0317941
0.762	0.0315648
0.765	0.0313302
0.768	0.031092
0.771	0.0308517
0.774	0.0306107
0.777	0.0303704
0.78	0.0301321
0.783	0.0298968
0.786	0.0296656
0.789	0.0294393
0.792	0.0292188
0.795	0.0290045
0.798	0.0287972
0.801	0.0285971
0.804	0.0284046
0.807	0.0282199
0.81	0.0280431
0.813	0.0278744
0.816	0.0277136
0.819	0.0275608
0.822	0.0274158
0.825	0.0272785
0.828	0.0271487
0.831	0.0271252
0.834	0.0272115
0.837	0.0273025
0.84	0.0273985
0.843	0.0274994
0.846	0.0276053
0.849	0.0277162
0.852	0.027832
0.855	0.0279527
0.858	0.028078
0.861	0.0282078
0.864	0.0283417
0.867	0.0284793
0.87	0.0286203
0.873	0.0287639
0.876	0.0289096
0.879	0.0290566
0.882	0.0292041
0.885	0.0293511
0.888	0.0294966
0.891	0.0296394
0.894	0.0297784
0.897	0.0299122
0.9	0.0300397
0.903	0.0301595
0.906	0.0302703
0.909	0.0303706
0.912	0.0304594
0.915	0.0305354
0.918	0.0305975
0.921	0.0306447
0.924	0.0306763
0.927	0.0306915
0.93	0.03069
0.933	0.0306715
0.936	0.030636
0.939	0.0305835
0.942	0.0305146
0.945	0.0304297
0.948	0.0303296
0.951	0.0302153
0.954	0.0300878
0.957	0.0299484
0.96	0.0297983
0.963	0.0296389
0.966	0.0294716
0.969	0.0292977
0.972	0.0291188
0.975	0.0289362
0.978	0.0287512
0.981	0.028565
0.984	0.0283788
0.987	0.0281937
0.99	0.0280106
0.993	0.0278305
0.996	0.0276539
0.999	0.0274817
1.002	0.0273144
1.005	0.0271524
1.008	0.026996
1.011	0.0268456
1.014	0.0267013
1.017	0.0265632
1.02	0.0264315
1.023	0.0263061
1.026	0.026187
1.029	0.0260741
1.032	0.0259673
1.035	0.0259673
1.038	0.0259969
1.041	0.0260281
1.044	0.026061
1.047	0.0260956
1.05	0.0261319
1.053	0.0261699
1.056	0.0262096
1.059	0.026251
1.062	0.0262939
1.065	0.0263384
1.068	0.0263842
1.071	0.0264313
1.074	0.0264794
1.077	0.0265284
1.08	0.0265779
1.083	0.0266278
1.086	0.0266776
1.089	0.0267269
1.092	0.0267755
1.095	0.0268227
1.098	0.0268682
1.101	0.0269114
1.104	0.0269518
1.107	0.0269888
1.11	0.0270219
1.113	0.0270506
1.116	0.0270743
1.119	0.0270926
1.122	0.0271049
1.125	0.027111
1.128	0.0271104
1.131	0.0271029
1.134	0.0270884
1.137	0.0270667
1.14	0.0270379
1.143	0.027002
1.146	0.0269593
1.149	0.02691
1.152	0.0268545
1.155	0.0267933
1.158	0.0267267
1.161	0.0266554
1.164	0.02658
1.167	0.0265011
1.17	0.0264193
1.173	0.0263352
1.176	0.0262495
1.179	0.0261627
1.182	0.0260755
1.185	0.0259884
1.188	0.0259018
1.191	0.0258163
1.194	0.0257322
1.197	0.0256499
1.2	0.0255697
1.203	0.0254918
1.206	0.0254165
1.209	0.0253439
1.212	0.0252741
1.215	0.0252073
1.218	0.0251435
1.221	0.0250826
1.224	0.0250248
1.227	0.02497
1.23	0.0249181
1.233	0.0248691
1.236	0.0248228
1.239	0.0247793
1.242	0.024764
1.245	0.0247729
1.248	0.0247823
1.251	0.0247922
1.254	0.0248024
1.257	0.0248132
1.26	0.0248244
1.263	0.024836
1.266	0.024848
1.269	0.0248604
1.272	0.0248731
1.275	0.0248862
1.278	0.0248994
1.281	0.0249129
1.284	0.0249264
1.287	0.0249399
1.29	0.0249533
1.293	0.0249665
1.296	0.0249793
1.299	0.0249916
1.302	0.0250034
1.305	0.0250143
1.308	0.0250243
1.311	0.0250332
1.314	0.0250408
1.317	0.025047
1.32	0.0250517
1.323	0.0250546
1.326	0.0250557
1.329	0.0250548
1.332	0.0250519
1.335	0.0250468
1.338	0.0250396
1.341	0.0250303
1.344	0.0250187
1.347	0.0250051
1.35	0.0249894
1.353	0.0249717
1.356	0.0249522
1.359	0.024931
1.362	0.0249083
1.365	0.0248842
1.368	0.024859
1.371	0.0248327
1.374	0.0248057
1.377	0.0247781
1.38	0.02475
1.383	0.0247218
1.386	0.0246935
1.389	0.0246653
1.392	0.0246374
1.395	0.0246099
1.398	0.0245829
1.401	0.0245565
1.404	0.0245309
1.407	0.024506
1.41	0.0244821
1.413	0.024459
1.416	0.0244368
1.419	0.0244156
1.422	0.0243954
1.425	0.0243761
1.428	0.0243578
1.431	0.0243405
1.434	0.0243241
1.437	0.0243086
1.44	0.024294
1.443	0.0242803
1.446	0.0242704
1.449	0.0242714
1.452	0.0242725
1.455	0.0242736
1.458	0.0242749
1.461	0.0242761
1.464	0.0242775
1.467	0.024279
1.47	0.0242805
1.473	0.0242821
1.476	0.0242838
1.479	0.0242856
1.482	0.0242875
1.485	0.0242894
1.488	0.0242914
1.491	0.0242935
1.494	0.0242957
1.497	0.0242979
1.5	0.0243002
1.503	0.0243026
1.506	0.024305
1.509	0.0243074
1.512	0.0243099
1.515	0.0243124
1.518	0.0243148
1.521	0.0243173
1.524	0.0243197
1.527	0.0243221
1.53	0.0243244
1.533	0.0243266
1.536	0.0243287
1.539	0.0243307
1.542	0.0243326
1.545	0.0243343
1.548	0.0243359
1.551	0.0243373
1.554	0.0243386
1.557	0.0243396
1.56	0.0243404
1.563	0.0243411
1.566	0.0243415
1.569	0.0243418
1.572	0.0243418
1.575	0.0243417
1.578	0.0243414
1.581	0.0243409
1.584	0.0243402
1.587	0.0243394
1.59	0.0243384
1.593	0.0243372
1.596	0.024336
1.599	0.0243346
1.602	0.0243331
1.605	0.0243316
1.608	0.0243299
1.611	0.0243282
1.614	0.0243264
1.617	0.0243246
1.62	0.0243227
1.623	0.0243208
1.626	0.0243188
1.629	0.0243169
1.632	0.0243149
1.635	0.0243129
1.638	0.0243109
1.641	0.0243089
1.644	0.0243069
1.647	0.0243049
1.65	0.0243029
1.653	0.024301
1.656	0.0243091
1.659	0.0243244
1.662	0.0243406
1.665	0.0243577
1.668	0.0243759
1.671	0.024395
1.674	0.0244151
1.677	0.0244363
1.68	0.0244585
1.683	0.0244817
1.686	0.0245059
1.689	0.0245311
1.692	0.0245573
1.695	0.0245843
1.698	0.0246122
1.701	0.0246409
1.704	0.0246702
1.707	0.0247001
1.71	0.0247305
