 x 	V[Y|X = x] 
0	4.4271
0.003	4.42769
0.006	4.42827
0.009	4.42885
0.012	4.42943
0.015	4.43002
0.018	4.4306
0.021	4.43118
0.024	4.43177
0.027	4.43235
0.03	4.43293
0.033	4.43352
0.036	4.4341
0.039	4.43468
0.042	4.43527
0.045	4.43585
0.048	4.43644
0.051	4.43702
0.054	4.43761
0.057	4.43819
0.06	4.43877
0.063	4.43936
0.066	4.43994
0.069	4.44053
0.072	4.44111
0.075	4.4417
0.078	4.44228
0.081	4.44287
0.084	4.44345
0.087	4.44404
0.09	4.44462
0.093	4.44521
0.096	4.44579
0.099	4.44638
0.102	4.44696
0.105	4.44755
0.108	4.44814
0.111	4.44872
0.114	4.44931
0.117	4.44989
0.12	4.45048
0.123	4.45106
0.126	4.45165
0.129	4.45224
0.132	4.45282
0.135	4.45341
0.138	4.45399
0.141	4.45458
0.144	4.45517
0.147	4.45575
0.15	4.45634
0.153	4.45692
0.156	4.45751
0.159	4.4581
0.162	4.45868
0.165	4.45927
0.168	4.45985
0.171	4.46044
0.174	4.46103
0.177	4.46161
0.18	4.4622
0.183	4.46279
0.186	4.46337
0.189	4.46396
0.192	4.46455
0.195	4.46513
0.198	4.46572
0.201	4.4663
0.204	4.46689
0.207	4.46748
0.21	4.46806
0.213	4.46865
0.216	4.46924
0.219	4.46982
0.222	4.47041
0.225	4.47099
0.228	4.47158
0.231	4.47217
0.234	4.47275
0.237	4.47334
0.24	4.47393
0.243	4.47451
0.246	4.4751
0.249	4.47568
0.252	4.47627
0.255	4.47686
0.258	4.47744
0.261	4.47803
0.264	4.47861
0.267	4.4792
0.27	4.47978
0.273	4.48037
0.276	4.48096
0.279	4.48154
0.282	4.48213
0.285	4.48271
0.288	4.4833
0.291	4.48388
0.294	4.48447
0.297	4.48505
0.3	4.48564
0.303	4.48622
0.306	4.48681
0.309	4.48739
0.312	4.48798
0.315	4.48856
0.318	4.48915
0.321	4.48973
0.324	4.49032
0.327	4.4909
0.33	4.49149
0.333	4.49207
0.336	4.49266
0.339	4.49324
0.342	4.49382
0.345	4.49441
0.348	4.49499
0.351	4.49558
0.354	4.49616
0.357	4.49674
0.36	4.49733
0.363	4.49791
0.366	4.49849
0.369	4.49908
0.372	4.49966
0.375	4.50024
0.378	4.50083
0.381	4.50141
0.384	4.50199
0.387	4.50257
0.39	4.50316
0.393	4.50374
0.396	4.50432
0.399	4.5049
0.402	4.50549
0.405	4.50607
0.408	4.50665
0.411	4.50723
0.414	4.50781
0.417	4.50839
0.42	4.50897
0.423	4.50956
0.426	4.51014
0.429	4.51072
0.432	4.5113
0.435	4.51188
0.438	4.51246
0.441	4.51304
0.444	4.51362
0.447	4.5142
0.45	4.51478
0.453	4.51536
0.456	4.51594
0.459	4.51652
0.462	4.5171
0.465	4.51767
0.468	4.51825
0.471	4.51883
0.474	4.51941
0.477	4.51999
0.48	4.52057
0.483	4.52114
0.486	4.52172
0.489	4.5223
0.492	4.52288
0.495	4.52345
0.498	4.52403
0.501	4.52461
0.504	4.52518
0.507	4.52576
0.51	4.52634
0.513	4.52691
0.516	4.52749
0.519	4.52807
0.522	4.52864
0.525	4.52922
0.528	4.52979
0.531	4.53037
0.534	4.53094
0.537	4.53151
0.54	4.53209
0.543	4.53266
0.546	4.53324
0.549	4.53381
0.552	4.53438
0.555	4.53496
0.558	4.53553
0.561	4.5361
0.564	4.53668
0.567	4.53725
0.57	4.53782
0.573	4.53839
0.576	4.53896
0.579	4.53953
0.582	4.54011
0.585	4.54068
0.588	4.54125
0.591	4.54182
0.594	4.54239
0.597	4.54296
0.6	4.54353
0.603	4.5441
0.606	4.54467
0.609	4.54523
0.612	4.5458
0.615	4.54637
0.618	4.54694
0.621	4.54751
0.624	4.54808
0.627	4.54864
0.63	4.54921
0.633	4.54978
0.636	4.55034
0.639	4.55091
0.642	4.55148
0.645	4.55204
0.648	4.55261
0.651	4.55317
0.654	4.55374
0.657	4.5543
0.66	4.55487
0.663	4.55543
0.666	4.55599
0.669	4.55656
0.672	4.55712
0.675	4.55768
0.678	4.55825
0.681	4.55881
0.684	4.55937
0.687	4.55993
0.69	4.5605
0.693	4.56106
0.696	4.56162
0.699	4.56218
0.702	4.56274
0.705	4.5633
0.708	4.56386
0.711	4.56442
0.714	4.56498
0.717	4.56554
0.72	4.56609
0.723	4.56665
0.726	4.56721
0.729	4.56777
0.732	4.56833
0.735	4.56888
0.738	4.56944
0.741	4.57
0.744	4.57055
0.747	4.57111
0.75	4.57166
0.753	4.57222
0.756	4.57277
0.759	4.57333
0.762	4.57388
0.765	4.57443
0.768	4.57499
0.771	4.57554
0.774	4.57609
0.777	4.57664
0.78	4.5772
0.783	4.57775
0.786	4.5783
0.789	4.57885
0.792	4.5794
0.795	4.57995
0.798	4.5805
0.801	4.58105
0.804	4.5816
0.807	4.58215
0.81	4.5827
0.813	4.58324
0.816	4.58379
0.819	4.58434
0.822	4.58489
0.825	4.58543
0.828	4.58598
0.831	4.58652
0.834	4.58707
0.837	4.58761
0.84	4.58816
0.843	4.5887
0.846	4.58925
0.849	4.58979
0.852	4.59033
0.855	4.59088
0.858	4.59142
0.861	4.59196
0.864	4.5925
0.867	4.59304
0.87	4.59358
0.873	4.59412
0.876	4.59466
0.879	4.5952
0.882	4.59574
0.885	4.59628
0.888	4.59682
0.891	4.59736
0.894	4.5979
0.897	4.59843
0.9	4.59897
0.903	4.59951
0.906	4.60004
0.909	4.60058
0.912	4.60111
0.915	4.60165
0.918	4.60218
0.921	4.60272
0.924	4.60325
0.927	4.60378
0.93	4.60432
0.933	4.60485
0.936	4.60538
0.939	4.60591
0.942	4.60644
0.945	4.60697
0.948	4.6075
0.951	4.60803
0.954	4.60856
0.957	4.60909
0.96	4.60962
0.963	4.61015
0.966	4.61067
0.969	4.6112
0.972	4.61173
0.975	4.61225
0.978	4.61278
0.981	4.6133
0.984	4.61383
0.987	4.61435
0.99	4.61488
0.993	4.6154
0.996	4.61592
0.999	4.61644
1.002	4.61697
1.005	4.61749
1.008	4.61801
1.011	4.61853
1.014	4.61905
1.017	4.61957
1.02	4.62009
1.023	4.62061
1.026	4.62113
1.029	4.62164
1.032	4.62216
1.035	4.62268
1.038	4.62319
1.041	4.62371
1.044	4.62423
1.047	4.62474
1.05	4.62525
1.053	4.62577
1.056	4.62628
1.059	4.62679
1.062	4.62731
1.065	4.62782
1.068	4.62833
1.071	4.62884
1.074	4.62935
1.077	4.62986
1.08	4.63037
1.083	4.63088
1.086	4.63139
1.089	4.6319
1.092	4.63241
1.095	4.63291
1.098	4.63342
1.101	4.63393
1.104	4.63443
1.107	4.63494
1.11	4.63544
1.113	4.63594
1.116	4.63645
1.119	4.63695
1.122	4.63745
1.125	4.63796
1.128	4.63846
1.131	4.63896
1.134	4.63946
1.137	4.63996
1.14	4.64046
1.143	4.64096
1.146	4.64145
1.149	4.64195
1.152	4.64245
1.155	4.64295
1.158	4.64344
1.161	4.64394
1.164	4.64443
1.167	4.64493
1.17	4.64542
1.173	4.64592
1.176	4.64641
1.179	4.6469
1.182	4.64739
1.185	4.64789
1.188	4.64838
1.191	4.64887
1.194	4.64936
1.197	4.64985
1.2	4.65033
1.203	4.65082
1.206	4.65131
1.209	4.6518
1.212	4.65228
1.215	4.65277
1.218	4.65325
1.221	4.65374
1.224	4.65422
1.227	4.65471
1.23	4.65519
1.233	4.65567
1.236	4.65616
1.239	4.65664
1.242	4.65712
1.245	4.6576
1.248	4.65808
1.251	4.65856
1.254	4.65904
1.257	4.65951
1.26	4.65999
1.263	4.66047
1.266	4.66095
1.269	4.66142
1.272	4.6619
1.275	4.66237
1.278	4.66285
1.281	4.66332
1.284	4.66379
1.287	4.66426
1.29	4.66474
1.293	4.66521
1.296	4.66568
1.299	4.66615
1.302	4.66662
1.305	4.66709
1.308	4.66756
1.311	4.66802
1.314	4.66849
1.317	4.66896
1.32	4.66942
1.323	4.66989
1.326	4.67035
1.329	4.67082
1.332	4.67128
1.335	4.67174
1.338	4.67221
1.341	4.67267
1.344	4.67313
1.347	4.67359
1.35	4.67405
1.353	4.67451
