 x  	 F(x)  
0	0.536111
0.003	0.53569
0.006	0.535268
0.009	0.534846
0.012	0.534424
0.015	0.534001
0.018	0.533578
0.021	0.533155
0.024	0.532731
0.027	0.532307
0.03	0.531883
0.033	0.531458
0.036	0.531033
0.039	0.530607
0.042	0.530181
0.045	0.529755
0.048	0.529328
0.051	0.528901
0.054	0.528473
0.057	0.528046
0.06	0.527618
0.063	0.527189
0.066	0.52676
0.069	0.526331
0.072	0.525901
0.075	0.525471
0.078	0.525041
0.081	0.52461
0.084	0.524179
0.087	0.523748
0.09	0.523316
0.093	0.522884
0.096	0.522451
0.099	0.522019
0.102	0.521585
0.105	0.521152
0.108	0.520718
0.111	0.520284
0.114	0.519849
0.117	0.519414
0.12	0.518979
0.123	0.518543
0.126	0.518107
0.129	0.51767
0.132	0.517234
0.135	0.516797
0.138	0.516359
0.141	0.515921
0.144	0.515483
0.147	0.515045
0.15	0.514606
0.153	0.514167
0.156	0.513727
0.159	0.513287
0.162	0.512847
0.165	0.512406
0.168	0.511965
0.171	0.511524
0.174	0.511082
0.177	0.51064
0.18	0.510198
0.183	0.509755
0.186	0.509312
0.189	0.508869
0.192	0.508425
0.195	0.507981
0.198	0.507537
0.201	0.507092
0.204	0.506647
0.207	0.506202
0.21	0.505756
0.213	0.50531
0.216	0.504863
0.219	0.504417
0.222	0.503969
0.225	0.503522
0.228	0.503074
0.231	0.502626
0.234	0.502178
0.237	0.501729
0.24	0.50128
0.243	0.50083
0.246	0.50038
0.249	0.49993
0.252	0.49948
0.255	0.499029
0.258	0.498578
0.261	0.498126
0.264	0.497675
0.267	0.497222
0.27	0.49677
0.273	0.496317
0.276	0.495864
0.279	0.495411
0.282	0.494957
0.285	0.494503
0.288	0.494048
0.291	0.493594
0.294	0.493139
0.297	0.492683
0.3	0.492228
0.303	0.491771
0.306	0.491315
0.309	0.490858
0.312	0.490401
0.315	0.489944
0.318	0.489486
0.321	0.489028
0.324	0.48857
0.327	0.488112
0.33	0.487653
0.333	0.487193
0.336	0.486734
0.339	0.486274
0.342	0.485814
0.345	0.485353
0.348	0.484892
0.351	0.484431
0.354	0.48397
0.357	0.483508
0.36	0.483046
0.363	0.482583
0.366	0.482121
0.369	0.481658
0.372	0.481194
0.375	0.480731
0.378	0.480267
0.381	0.479802
0.384	0.479338
0.387	0.478873
0.39	0.478408
0.393	0.477942
0.396	0.477476
0.399	0.47701
0.402	0.476544
0.405	0.476077
0.408	0.47561
0.411	0.475143
0.414	0.474675
0.417	0.474207
0.42	0.473739
0.423	0.47327
0.426	0.472802
0.429	0.472332
0.432	0.471863
0.435	0.471393
0.438	0.470923
0.441	0.470453
0.444	0.469982
0.447	0.469511
0.45	0.46904
0.453	0.468569
0.456	0.468097
0.459	0.467625
0.462	0.467152
0.465	0.466679
0.468	0.466206
0.471	0.465733
0.474	0.46526
0.477	0.464786
0.48	0.464311
0.483	0.463837
0.486	0.463362
0.489	0.462887
0.492	0.462412
0.495	0.461936
0.498	0.46146
0.501	0.460984
0.504	0.460508
0.507	0.460031
0.51	0.459554
0.513	0.459077
0.516	0.458599
0.519	0.458121
0.522	0.457643
0.525	0.457164
0.528	0.456686
0.531	0.456207
0.534	0.455727
0.537	0.455248
0.54	0.454768
0.543	0.454288
0.546	0.453807
0.549	0.453327
0.552	0.452846
0.555	0.452364
0.558	0.451883
0.561	0.451401
0.564	0.450919
0.567	0.450437
0.57	0.449954
0.573	0.449471
0.576	0.448988
0.579	0.448505
0.582	0.448021
0.585	0.447537
0.588	0.447053
0.591	0.446568
0.594	0.446083
0.597	0.445598
0.6	0.445113
0.603	0.444627
0.606	0.444142
0.609	0.443655
0.612	0.443169
0.615	0.442682
0.618	0.442195
0.621	0.441708
0.624	0.441221
0.627	0.440733
0.63	0.440245
0.633	0.439757
0.636	0.439269
0.639	0.43878
0.642	0.438291
0.645	0.437802
0.648	0.437312
0.651	0.436822
0.654	0.436332
0.657	0.435842
0.66	0.435351
0.663	0.434861
0.666	0.43437
0.669	0.433878
0.672	0.433387
0.675	0.432895
0.678	0.432403
0.681	0.431911
0.684	0.431418
0.687	0.430925
0.69	0.430432
0.693	0.429939
0.696	0.429445
0.699	0.428951
0.702	0.428457
0.705	0.427963
0.708	0.427469
0.711	0.426974
0.714	0.426479
0.717	0.425983
0.72	0.425488
0.723	0.424992
0.726	0.424496
0.729	0.424
0.732	0.423504
0.735	0.423007
0.738	0.42251
0.741	0.422013
0.744	0.421515
0.747	0.421018
0.75	0.42052
0.753	0.420021
0.756	0.419523
0.759	0.419024
0.762	0.418526
0.765	0.418027
0.768	0.417527
0.771	0.417028
0.774	0.416528
0.777	0.416028
0.78	0.415528
0.783	0.415027
0.786	0.414526
0.789	0.414025
0.792	0.413524
0.795	0.413023
0.798	0.412521
0.801	0.412019
0.804	0.411517
0.807	0.411015
0.81	0.410513
0.813	0.41001
0.816	0.409507
0.819	0.409004
0.822	0.4085
0.825	0.407997
0.828	0.407493
0.831	0.406989
0.834	0.406484
0.837	0.40598
0.84	0.405475
0.843	0.40497
0.846	0.404465
0.849	0.40396
0.852	0.403454
0.855	0.402948
0.858	0.402442
0.861	0.401936
0.864	0.401429
0.867	0.400923
0.87	0.400416
0.873	0.399909
0.876	0.399401
0.879	0.398894
0.882	0.398386
0.885	0.397878
0.888	0.39737
0.891	0.396862
0.894	0.396353
0.897	0.395844
0.9	0.395335
0.903	0.394826
0.906	0.394317
0.909	0.393807
0.912	0.393297
0.915	0.392787
0.918	0.392277
0.921	0.391766
0.924	0.391256
0.927	0.390745
0.93	0.390234
0.933	0.389723
0.936	0.389211
0.939	0.3887
0.942	0.388188
0.945	0.387676
0.948	0.387164
0.951	0.386651
0.954	0.386139
0.957	0.385626
0.96	0.385113
0.963	0.3846
0.966	0.384086
0.969	0.383573
0.972	0.383059
0.975	0.382545
0.978	0.382031
0.981	0.381516
0.984	0.381002
0.987	0.380487
0.99	0.379972
0.993	0.379457
0.996	0.378942
0.999	0.378426
1.002	0.37791
1.005	0.377395
1.008	0.376879
1.011	0.376362
1.014	0.375846
1.017	0.375329
1.02	0.374813
1.023	0.374296
1.026	0.373778
1.029	0.373261
1.032	0.372744
1.035	0.372226
1.038	0.371708
1.041	0.37119
1.044	0.370672
1.047	0.370153
1.05	0.369635
1.053	0.369116
1.056	0.368597
1.059	0.368078
1.062	0.367559
1.065	0.367039
1.068	0.366519
1.071	0.366
1.074	0.36548
1.077	0.364959
1.08	0.364439
1.083	0.363919
1.086	0.363398
1.089	0.362877
1.092	0.362356
1.095	0.361835
1.098	0.361314
1.101	0.360792
1.104	0.36027
1.107	0.359748
1.11	0.359226
1.113	0.358704
1.116	0.358182
1.119	0.357659
1.122	0.357137
1.125	0.356614
1.128	0.356091
1.131	0.355568
1.134	0.355044
1.137	0.354521
1.14	0.353997
1.143	0.353473
1.146	0.352949
1.149	0.352425
1.152	0.351901
1.155	0.351376
1.158	0.350852
1.161	0.350327
1.164	0.349802
1.167	0.349277
1.17	0.348752
1.173	0.348226
1.176	0.347701
1.179	0.347175
1.182	0.346649
1.185	0.346123
1.188	0.345597
1.191	0.345071
1.194	0.344544
1.197	0.344018
1.2	0.343491
1.203	0.342964
1.206	0.342437
1.209	0.34191
1.212	0.341382
1.215	0.340855
1.218	0.340327
1.221	0.339799
1.224	0.339272
1.227	0.338743
1.23	0.338215
1.233	0.337687
1.236	0.337158
1.239	0.33663
1.242	0.336101
1.245	0.335572
1.248	0.335043
1.251	0.334514
1.254	0.333984
1.257	0.333455
1.26	0.332925
1.263	0.332395
1.266	0.331865
1.269	0.331335
1.272	0.330805
1.275	0.330275
1.278	0.329744
1.281	0.329214
1.284	0.328683
1.287	0.328152
1.29	0.327621
1.293	0.32709
1.296	0.326558
1.299	0.326027
1.302	0.325495
1.305	0.324964
1.308	0.324432
1.311	0.3239
1.314	0.323368
1.317	0.322836
1.32	0.322303
1.323	0.321771
1.326	0.321238
1.329	0.320706
1.332	0.320173
1.335	0.31964
1.338	0.319107
1.341	0.318573
1.344	0.31804
1.347	0.317507
1.35	0.316973
1.353	0.316439
1.356	0.315905
1.359	0.315371
1.362	0.314837
1.365	0.314303
1.368	0.313769
1.371	0.313234
1.374	0.3127
1.377	0.312165
1.38	0.31163
1.383	0.311095
1.386	0.31056
1.389	0.310025
1.392	0.30949
1.395	0.308954
1.398	0.308419
1.401	0.307883
1.404	0.307347
1.407	0.306811
1.41	0.306275
1.413	0.305739
1.416	0.305203
1.419	0.304667
1.422	0.30413
1.425	0.303594
1.428	0.303057
1.431	0.30252
1.434	0.301983
1.437	0.301446
1.44	0.300909
1.443	0.300372
1.446	0.299835
1.449	0.299297
1.452	0.29876
1.455	0.298222
1.458	0.297684
1.461	0.297146
1.464	0.296608
1.467	0.29607
1.47	0.295532
1.473	0.294994
1.476	0.294455
1.479	0.293917
1.482	0.293378
1.485	0.29284
1.488	0.292301
1.491	0.291762
1.494	0.291223
1.497	0.290684
1.5	0.290144
1.503	0.289605
1.506	0.289066
1.509	0.288526
1.512	0.287986
1.515	0.287447
1.518	0.286907
1.521	0.286367
1.524	0.285827
1.527	0.285287
1.53	0.284747
1.533	0.284206
1.536	0.283666
1.539	0.283125
1.542	0.282585
1.545	0.282044
1.548	0.281503
1.551	0.280962
1.554	0.280421
1.557	0.27988
1.56	0.279339
1.563	0.278798
1.566	0.278256
1.569	0.277715
1.572	0.277173
1.575	0.276632
1.578	0.27609
1.581	0.275548
1.584	0.275006
1.587	0.274464
1.59	0.273922
1.593	0.27338
1.596	0.272838
1.599	0.272295
1.602	0.271753
1.605	0.27121
1.608	0.270668
1.611	0.270125
1.614	0.269582
1.617	0.269039
1.62	0.268496
1.623	0.267953
1.626	0.26741
1.629	0.266867
1.632	0.266324
1.635	0.26578
1.638	0.265237
1.641	0.264693
1.644	0.26415
1.647	0.263606
1.65	0.263062
1.653	0.262518
1.656	0.261974
