 x  	 F(x)  
0	0.0678397
0.003	0.0695033
0.006	0.0711847
0.009	0.0728832
0.012	0.0745987
0.015	0.0763306
0.018	0.0780786
0.021	0.0798422
0.024	0.081621
0.027	0.0834147
0.03	0.0852227
0.033	0.0870446
0.036	0.0888801
0.039	0.0907286
0.042	0.0925898
0.045	0.0944631
0.048	0.0963482
0.051	0.0982447
0.054	0.100152
0.057	0.10207
0.06	0.103998
0.063	0.105936
0.066	0.107883
0.069	0.109839
0.072	0.111803
0.075	0.113776
0.078	0.115757
0.081	0.117745
0.084	0.11974
0.087	0.121742
0.09	0.123751
0.093	0.125766
0.096	0.127787
0.099	0.129814
0.102	0.131847
0.105	0.133884
0.108	0.135927
0.111	0.137975
0.114	0.140028
0.117	0.142086
0.12	0.144148
0.123	0.146215
0.126	0.148286
0.129	0.150361
0.132	0.152441
0.135	0.154525
0.138	0.156614
0.141	0.158706
0.144	0.160803
0.147	0.162905
0.15	0.165011
0.153	0.167121
0.156	0.169236
0.159	0.171356
0.162	0.173481
0.165	0.175611
0.168	0.177746
0.171	0.179887
0.174	0.182033
0.177	0.184186
0.18	0.186344
0.183	0.188509
0.186	0.19068
0.189	0.192859
0.192	0.195044
0.195	0.197237
0.198	0.199438
0.201	0.201647
0.204	0.203865
0.207	0.206091
0.21	0.208327
0.213	0.210572
0.216	0.212827
0.219	0.215092
0.222	0.217368
0.225	0.219654
0.228	0.221952
0.231	0.224262
0.234	0.226583
0.237	0.228917
0.24	0.231264
0.243	0.233624
0.246	0.235998
0.249	0.238385
0.252	0.240786
0.255	0.243202
0.258	0.245633
0.261	0.248079
0.264	0.250541
0.267	0.253018
0.27	0.255511
0.273	0.258021
0.276	0.260547
0.279	0.263091
0.282	0.265651
0.285	0.268228
0.288	0.270823
0.291	0.273435
0.294	0.276066
0.297	0.278714
0.3	0.28138
0.303	0.284063
0.306	0.286765
0.309	0.289486
0.312	0.292224
0.315	0.29498
0.318	0.297754
0.321	0.300546
0.324	0.303355
0.327	0.306182
0.33	0.309027
0.333	0.311888
0.336	0.314766
0.339	0.317661
0.342	0.320572
0.345	0.323499
0.348	0.326442
0.351	0.329399
0.354	0.332371
0.357	0.335358
0.36	0.338358
0.363	0.34137
0.366	0.344396
0.369	0.347433
0.372	0.350481
0.375	0.35354
0.378	0.356609
0.381	0.359687
0.384	0.362773
0.387	0.365867
0.39	0.368967
0.393	0.372074
0.396	0.375186
0.399	0.378302
0.402	0.381422
0.405	0.384544
0.408	0.387668
0.411	0.390793
0.414	0.393918
0.417	0.397042
0.42	0.400164
0.423	0.403284
0.426	0.4064
0.429	0.409511
0.432	0.412617
0.435	0.415717
0.438	0.41881
0.441	0.421895
0.444	0.424971
0.447	0.428037
0.45	0.431093
0.453	0.434138
0.456	0.437171
0.459	0.440191
0.462	0.443198
0.465	0.446191
0.468	0.449169
0.471	0.452132
0.474	0.455079
0.477	0.458009
0.48	0.460923
0.483	0.463819
0.486	0.466697
0.489	0.469557
0.492	0.472398
0.495	0.47522
0.498	0.478023
0.501	0.480806
0.504	0.483569
0.507	0.486312
0.51	0.489034
0.513	0.491737
0.516	0.494418
0.519	0.49708
0.522	0.49972
0.525	0.50234
0.528	0.50494
0.531	0.507518
0.534	0.510077
0.537	0.512615
0.54	0.515134
0.543	0.517632
0.546	0.520111
0.549	0.52257
0.552	0.52501
0.555	0.527431
0.558	0.529834
0.561	0.532219
0.564	0.534585
0.567	0.536935
0.57	0.539267
0.573	0.541583
0.576	0.543883
0.579	0.546167
0.582	0.548436
0.585	0.550691
0.588	0.552931
0.591	0.555158
0.594	0.557371
0.597	0.559572
0.6	0.561761
0.603	0.563939
0.606	0.566105
0.609	0.568262
0.612	0.570409
0.615	0.572546
0.618	0.574676
0.621	0.576797
0.624	0.578911
0.627	0.581018
0.63	0.583119
0.633	0.585214
0.636	0.587305
0.639	0.589391
0.642	0.591473
0.645	0.593552
0.648	0.595628
0.651	0.597703
0.654	0.599775
0.657	0.601847
0.66	0.603919
0.663	0.60599
0.666	0.608062
0.669	0.610135
0.672	0.61221
0.675	0.614287
0.678	0.616366
0.681	0.618448
0.684	0.620534
0.687	0.622624
0.69	0.624718
0.693	0.626816
0.696	0.62892
0.699	0.631029
0.702	0.633143
0.705	0.635264
0.708	0.637391
0.711	0.639524
0.714	0.641664
0.717	0.643812
0.72	0.645966
0.723	0.648127
0.726	0.650297
0.729	0.652473
0.732	0.654657
0.735	0.656849
0.738	0.659049
0.741	0.661257
0.744	0.663472
0.747	0.665695
0.75	0.667925
0.753	0.670163
0.756	0.672408
0.759	0.67466
0.762	0.67692
0.765	0.679186
0.768	0.681458
0.771	0.683737
0.774	0.686021
0.777	0.688311
0.78	0.690607
0.783	0.692907
0.786	0.695211
0.789	0.697519
0.792	0.699831
0.795	0.702146
0.798	0.704463
0.801	0.706782
0.804	0.709102
0.807	0.711424
0.81	0.713745
0.813	0.716066
0.816	0.718387
0.819	0.720705
0.822	0.723022
0.825	0.725335
0.828	0.727645
0.831	0.729951
0.834	0.732252
0.837	0.734548
0.84	0.736837
0.843	0.73912
0.846	0.741395
0.849	0.743662
0.852	0.74592
0.855	0.748169
0.858	0.750408
0.861	0.752636
0.864	0.754853
0.867	0.757058
0.87	0.759251
0.873	0.761431
0.876	0.763597
0.879	0.765749
0.882	0.767887
0.885	0.770009
0.888	0.772117
0.891	0.774208
0.894	0.776283
0.897	0.778341
0.9	0.780382
0.903	0.782406
0.906	0.784412
0.909	0.786401
0.912	0.788371
0.915	0.790322
0.918	0.792255
0.921	0.79417
0.924	0.796065
0.927	0.797941
0.93	0.799798
0.933	0.801636
0.936	0.803454
0.939	0.805254
0.942	0.807034
0.945	0.808795
0.948	0.810536
0.951	0.812259
0.954	0.813963
0.957	0.815648
0.96	0.817314
0.963	0.818961
0.966	0.820591
0.969	0.822202
0.972	0.823795
0.975	0.82537
0.978	0.826928
0.981	0.828469
0.984	0.829993
0.987	0.831501
0.99	0.832992
0.993	0.834467
0.996	0.835927
0.999	0.837371
1.002	0.8388
1.005	0.840215
1.008	0.841615
1.011	0.843002
1.014	0.844375
1.017	0.845735
1.02	0.847082
1.023	0.848417
1.026	0.849739
1.029	0.851051
1.032	0.852351
1.035	0.85364
1.038	0.854918
1.041	0.856187
1.044	0.857446
1.047	0.858696
1.05	0.859937
1.053	0.861169
1.056	0.862394
1.059	0.86361
1.062	0.864819
1.065	0.866021
1.068	0.867217
1.071	0.868406
1.074	0.869589
1.077	0.870766
1.08	0.871939
1.083	0.873106
1.086	0.874268
1.089	0.875426
1.092	0.876581
1.095	0.877731
1.098	0.878878
1.101	0.880021
1.104	0.881162
1.107	0.8823
1.11	0.883435
1.113	0.884568
1.116	0.885699
1.119	0.886828
1.122	0.887955
1.125	0.889081
1.128	0.890206
1.131	0.891329
1.134	0.892451
1.137	0.893573
1.14	0.894693
1.143	0.895813
1.146	0.896932
1.149	0.89805
1.152	0.899168
1.155	0.900285
1.158	0.901402
1.161	0.902519
1.164	0.903634
1.167	0.90475
1.17	0.905865
1.173	0.906979
1.176	0.908092
1.179	0.909205
1.182	0.910317
1.185	0.911428
1.188	0.912538
1.191	0.913646
1.194	0.914753
1.197	0.915859
1.2	0.916963
1.203	0.918065
1.206	0.919165
1.209	0.920262
1.212	0.921357
1.215	0.922449
1.218	0.923538
1.221	0.924624
1.224	0.925706
1.227	0.926785
1.23	0.927859
1.233	0.928929
1.236	0.929995
1.239	0.931055
1.242	0.93211
1.245	0.93316
1.248	0.934203
1.251	0.935241
1.254	0.936272
1.257	0.937296
1.26	0.938313
1.263	0.939323
1.266	0.940325
1.269	0.941319
1.272	0.942305
1.275	0.943282
1.278	0.94425
1.281	0.945209
1.284	0.946159
1.287	0.947099
1.29	0.948029
1.293	0.948949
1.296	0.949859
1.299	0.950758
1.302	0.951646
1.305	0.952523
1.308	0.953389
1.311	0.954243
1.314	0.955086
1.317	0.955917
1.32	0.956736
1.323	0.957543
1.326	0.958338
1.329	0.959121
1.332	0.959892
1.335	0.96065
1.338	0.961395
1.341	0.962128
1.344	0.962849
1.347	0.963556
1.35	0.964252
1.353	0.964934
1.356	0.965604
1.359	0.966261
1.362	0.966906
1.365	0.967538
1.368	0.968158
1.371	0.968765
1.374	0.96936
1.377	0.969943
1.38	0.970513
1.383	0.971072
1.386	0.971618
1.389	0.972152
1.392	0.972675
1.395	0.973186
1.398	0.973685
1.401	0.974173
1.404	0.974649
1.407	0.975115
1.41	0.975569
1.413	0.976012
1.416	0.976445
1.419	0.976867
1.422	0.977278
1.425	0.97768
1.428	0.978071
1.431	0.978451
1.434	0.978822
1.437	0.979184
1.44	0.979535
1.443	0.979877
1.446	0.98021
1.449	0.980533
1.452	0.980848
1.455	0.981153
1.458	0.98145
1.461	0.981738
1.464	0.982017
1.467	0.982288
1.47	0.98255
1.473	0.982804
1.476	0.98305
1.479	0.983288
1.482	0.983518
1.485	0.98374
1.488	0.983954
1.491	0.98416
1.494	0.984359
1.497	0.98455
1.5	0.984734
1.503	0.98491
1.506	0.985078
1.509	0.985239
1.512	0.985393
1.515	0.985539
1.518	0.985678
1.521	0.985809
1.524	0.985933
1.527	0.98605
1.53	0.98616
1.533	0.986262
1.536	0.986356
1.539	0.986444
1.542	0.986523
1.545	0.986596
1.548	0.98666
1.551	0.986717
1.554	0.986767
1.557	0.986809
1.56	0.986843
1.563	0.986869
1.566	0.986887
1.569	0.986898
1.572	0.9869
1.575	0.986894
1.578	0.98688
1.581	0.986858
1.584	0.986827
1.587	0.986787
1.59	0.986739
1.593	0.986682
1.596	0.986617
1.599	0.986542
1.602	0.986458
1.605	0.986366
1.608	0.986263
1.611	0.986152
1.614	0.986031
1.617	0.9859
1.62	0.98576
1.623	0.985609
1.626	0.985449
1.629	0.985279
1.632	0.985098
1.635	0.984907
1.638	0.984706
1.641	0.984495
1.644	0.984273
1.647	0.984041
1.65	0.983797
1.653	0.983543
1.656	0.983279
1.659	0.983003
1.662	0.982717
1.665	0.98242
1.668	0.982112
1.671	0.981793
1.674	0.981463
1.677	0.981121
1.68	0.98077
1.683	0.980407
1.686	0.980033
1.689	0.979648
1.692	0.979253
1.695	0.978847
1.698	0.97843
1.701	0.978002
1.704	0.977564
1.707	0.977115
1.71	0.976657
1.713	0.976187
1.716	0.975708
1.719	0.975219
1.722	0.97472
1.725	0.974211
1.728	0.973693
1.731	0.973165
1.734	0.972628
1.737	0.972082
1.74	0.971527
1.743	0.970963
1.746	0.970391
1.749	0.96981
1.752	0.969222
1.755	0.968625
1.758	0.968021
1.761	0.967409
1.764	0.96679
1.767	0.966163
1.77	0.96553
1.773	0.96489
1.776	0.964243
1.779	0.96359
1.782	0.962931
1.785	0.962265
1.788	0.961594
1.791	0.960918
1.794	0.960236
1.797	0.959548
1.8	0.958856
1.803	0.958159
1.806	0.957456
1.809	0.95675
1.812	0.956038
1.815	0.955323
1.818	0.954603
1.821	0.953878
1.824	0.95315
1.827	0.952418
1.83	0.951682
1.833	0.950942
1.836	0.950198
1.839	0.949451
1.842	0.9487
1.845	0.947945
1.848	0.947187
1.851	0.946425
1.854	0.94566
1.857	0.944891
1.86	0.944118
1.863	0.943342
1.866	0.942562
1.869	0.941778
1.872	0.940991
1.875	0.940199
1.878	0.939404
1.881	0.938604
1.884	0.937801
1.887	0.936993
1.89	0.93618
1.893	0.935364
1.896	0.934542
1.899	0.933716
1.902	0.932884
1.905	0.932048
1.908	0.931206
1.911	0.930358
1.914	0.929505
1.917	0.928646
1.92	0.92778
1.923	0.926909
1.926	0.926031
1.929	0.925145
1.932	0.924253
1.935	0.923354
1.938	0.922447
1.941	0.921532
1.944	0.920609
1.947	0.919678
1.95	0.918738
1.953	0.91779
1.956	0.916832
1.959	0.915865
1.962	0.914888
1.965	0.913901
1.968	0.912904
1.971	0.911896
1.974	0.910877
1.977	0.909848
1.98	0.908807
1.983	0.907754
1.986	0.906689
1.989	0.905612
1.992	0.904523
1.995	0.90342
1.998	0.902305
2.001	0.901176
2.004	0.900034
2.007	0.898878
2.01	0.897708
2.013	0.896524
2.016	0.895325
2.019	0.894111
2.022	0.892882
2.025	0.891639
