 x  	 F(x)  
0	0.000256409
0.003	0.00146176
0.006	0.00418276
0.009	0.00819693
0.012	0.0129426
0.015	0.0176171
0.018	0.0214618
0.021	0.0240866
0.024	0.0256161
0.027	0.0265863
0.03	0.0277001
0.033	0.0295823
0.036	0.0325964
0.039	0.0367342
0.042	0.0415967
0.045	0.0465062
0.048	0.0507518
0.051	0.0538805
0.054	0.0558817
0.057	0.0571718
0.06	0.058409
0.063	0.0602442
0.066	0.0631
0.069	0.06703
0.072	0.0716916
0.075	0.0764555
0.078	0.0806401
0.081	0.0837862
0.084	0.0858426
0.087	0.087175
0.09	0.0884089
0.093	0.0901914
0.096	0.0929627
0.099	0.0968034
0.102	0.101399
0.105	0.106144
0.108	0.110367
0.111	0.113595
0.114	0.115742
0.117	0.117138
0.12	0.118382
0.123	0.120122
0.126	0.122813
0.129	0.126564
0.132	0.131088
0.135	0.1358
0.138	0.14004
0.141	0.143323
0.144	0.145539
0.147	0.146982
0.15	0.148232
0.153	0.14993
0.156	0.152548
0.159	0.156214
0.162	0.160668
0.165	0.165347
0.168	0.169596
0.171	0.172925
0.174	0.175198
0.177	0.176682
0.18	0.177936
0.183	0.179596
0.186	0.182143
0.189	0.185727
0.192	0.190112
0.195	0.194753
0.198	0.199006
0.201	0.202373
0.204	0.204696
0.207	0.206216
0.21	0.207472
0.213	0.209095
0.216	0.211574
0.219	0.215077
0.222	0.219391
0.225	0.223992
0.228	0.228242
0.231	0.231638
0.234	0.234005
0.237	0.235558
0.24	0.236817
0.243	0.238403
0.246	0.240815
0.249	0.244238
0.252	0.248479
0.255	0.253034
0.258	0.257276
0.261	0.260696
0.264	0.2631
0.267	0.264683
0.27	0.265943
0.273	0.267495
0.276	0.269839
0.279	0.273181
0.282	0.277348
0.285	0.281853
0.288	0.286081
0.291	0.289518
0.294	0.291956
0.297	0.293566
0.3	0.294826
0.303	0.296343
0.306	0.298622
0.309	0.301881
0.312	0.30597
0.315	0.310422
0.318	0.31463
0.321	0.31808
0.324	0.320547
0.327	0.322181
0.33	0.323441
0.333	0.324923
0.336	0.327136
0.339	0.330312
0.342	0.334321
0.345	0.338714
0.348	0.342898
0.351	0.346354
0.354	0.348847
0.357	0.350503
0.36	0.351762
0.363	0.35321
0.366	0.355356
0.369	0.358448
0.372	0.362373
0.375	0.366705
0.378	0.370858
0.381	0.374317
0.384	0.376831
0.387	0.378506
0.39	0.379764
0.393	0.381177
0.396	0.383257
0.399	0.386263
0.402	0.390102
0.405	0.394367
0.408	0.398486
0.411	0.401943
0.414	0.404474
0.417	0.406167
0.42	0.407422
0.423	0.408801
0.426	0.410814
0.429	0.413732
0.432	0.417482
0.435	0.421676
0.438	0.425756
0.441	0.429206
0.444	0.431751
0.447	0.43346
0.45	0.434712
0.453	0.436056
0.456	0.438001
0.459	0.44083
0.462	0.444488
0.465	0.448608
0.468	0.452644
0.471	0.456082
0.474	0.458639
0.477	0.460361
0.48	0.461609
0.483	0.462918
0.486	0.464795
0.489	0.467532
0.492	0.471096
0.495	0.475137
0.498	0.479125
0.501	0.482548
0.504	0.485112
0.507	0.486846
0.51	0.488089
0.513	0.489362
0.516	0.49117
0.519	0.493815
0.522	0.497282
0.525	0.50124
0.528	0.505175
0.531	0.508579
0.534	0.511148
0.537	0.512891
0.54	0.514129
0.543	0.515366
0.546	0.517104
0.549	0.519655
0.552	0.523021
0.555	0.526893
0.558	0.530772
0.561	0.534153
0.564	0.536723
0.567	0.538474
0.57	0.539705
0.573	0.540905
0.576	0.542572
0.579	0.545027
0.582	0.54829
0.585	0.552073
0.588	0.555891
0.591	0.559245
0.594	0.561814
0.597	0.563572
0.6	0.564795
0.603	0.565957
0.606	0.567553
0.609	0.569909
0.612	0.573066
0.615	0.576756
0.618	0.58051
0.621	0.583835
0.624	0.586401
0.627	0.588163
0.63	0.589377
0.633	0.590501
0.636	0.592022
0.639	0.594278
0.642	0.597325
0.645	0.600918
0.648	0.604607
0.651	0.607901
0.654	0.610462
0.657	0.612228
0.66	0.613432
0.663	0.614514
0.666	0.615956
0.669	0.618102
0.672	0.621031
0.675	0.624522
0.678	0.628138
0.681	0.631397
0.684	0.633951
0.687	0.635719
0.69	0.636914
0.693	0.637958
0.696	0.639331
0.699	0.641393
0.702	0.644252
0.705	0.647716
0.708	0.651366
0.711	0.654707
0.714	0.657355
0.717	0.659179
0.72	0.660334
0.723	0.661184
0.726	0.662169
0.729	0.663653
0.732	0.665832
0.735	0.668694
0.738	0.672039
0.741	0.675547
0.744	0.678856
0.747	0.681659
0.75	0.683782
0.753	0.685242
0.756	0.686259
0.759	0.687206
0.762	0.688496
0.765	0.690441
0.768	0.693121
0.771	0.696346
0.774	0.699718
0.777	0.702787
0.78	0.705217
0.783	0.706912
0.786	0.708041
0.789	0.708979
0.792	0.710166
0.795	0.711948
0.798	0.714445
0.801	0.717505
0.804	0.72076
0.807	0.723768
0.81	0.726182
0.813	0.727877
0.816	0.728996
0.819	0.729892
0.822	0.730999
0.825	0.732669
0.828	0.735039
0.831	0.737981
0.834	0.741145
0.837	0.744101
0.84	0.746494
0.843	0.748183
0.846	0.749287
0.849	0.750142
0.852	0.751172
0.855	0.752733
0.858	0.75498
0.861	0.757803
0.864	0.760874
0.867	0.763771
0.87	0.766137
0.873	0.767814
0.876	0.7689
0.879	0.769713
0.882	0.770666
0.885	0.772121
0.888	0.774244
0.891	0.776948
0.894	0.779924
0.897	0.782757
0.9	0.785091
0.903	0.786751
0.906	0.787818
0.909	0.788588
0.912	0.789466
0.915	0.790814
0.918	0.792814
0.921	0.795397
0.924	0.798273
0.927	0.80104
0.93	0.803337
0.933	0.804979
0.936	0.806024
0.939	0.806751
0.942	0.807554
0.945	0.808796
0.948	0.810671
0.951	0.813132
0.954	0.815907
0.957	0.818604
0.96	0.820861
0.963	0.822481
0.966	0.823502
0.969	0.824186
0.972	0.824913
0.975	0.82605
0.978	0.827801
0.981	0.830138
0.984	0.832808
0.987	0.835431
0.99	0.837646
0.993	0.839241
0.996	0.840238
0.999	0.840877
1.002	0.84153
1.005	0.84256
1.008	0.844186
1.011	0.846398
1.014	0.848961
1.017	0.851508
1.02	0.853676
1.023	0.855245
1.026	0.856215
1.029	0.85681
1.032	0.857388
1.035	0.858313
1.038	0.859813
1.041	0.861898
1.044	0.864352
1.047	0.866819
1.05	0.868939
1.053	0.870478
1.056	0.871421
1.059	0.87197
1.062	0.872474
1.065	0.873292
1.068	0.874667
1.071	0.876623
1.074	0.878966
1.077	0.881351
1.08	0.883419
1.083	0.884927
1.086	0.88584
1.089	0.886344
1.092	0.886773
1.095	0.887486
1.098	0.888734
1.101	0.890562
1.104	0.892791
1.107	0.895091
1.11	0.897104
1.113	0.898578
1.116	0.899461
1.119	0.899919
1.122	0.900273
1.125	0.900881
1.128	0.902003
1.131	0.9037
1.134	0.905813
1.137	0.908026
1.14	0.909983
1.143	0.911421
1.146	0.912272
1.149	0.912683
1.152	0.912962
1.155	0.913466
1.158	0.91446
1.161	0.916026
1.164	0.918022
1.167	0.920145
1.17	0.922042
1.173	0.923442
1.176	0.92426
1.179	0.924624
1.182	0.924829
1.185	0.925227
1.188	0.926095
1.191	0.927529
1.194	0.929406
1.197	0.931437
1.2	0.933272
1.203	0.934631
1.206	0.935414
1.209	0.935731
1.212	0.935862
1.215	0.936157
1.218	0.936898
1.221	0.938198
1.224	0.939955
1.227	0.941892
1.23	0.943662
1.233	0.944979
1.236	0.945726
1.239	0.945995
1.242	0.946053
1.245	0.946243
1.248	0.946858
1.251	0.948024
1.254	0.949659
1.257	0.9515
1.26	0.953203
1.263	0.954476
1.266	0.955186
1.269	0.955406
1.272	0.955391
1.275	0.955478
1.278	0.955966
1.281	0.956998
1.284	0.95851
1.287	0.960252
1.29	0.961886
1.293	0.963113
1.296	0.963785
1.299	0.963957
1.302	0.963868
1.305	0.963852
1.308	0.964214
1.311	0.965112
1.314	0.9665
1.317	0.968141
1.32	0.969704
1.323	0.970883
1.326	0.971516
1.329	0.971639
1.332	0.971477
1.335	0.97136
1.338	0.971596
1.341	0.972359
1.344	0.97362
1.347	0.975159
1.35	0.976649
1.353	0.977779
1.356	0.978371
1.359	0.978445
1.362	0.978211
1.365	0.977992
1.368	0.978103
1.371	0.978731
1.374	0.979866
1.377	0.981301
1.38	0.982716
1.383	0.983795
1.386	0.984346
1.389	0.98437
1.392	0.984064
1.395	0.983745
1.398	0.98373
1.401	0.984223
1.404	0.98523
1.407	0.98656
1.41	0.987898
1.413	0.988925
1.416	0.989433
1.419	0.989409
1.422	0.989031
1.425	0.988612
1.428	0.988473
1.431	0.988831
1.434	0.989709
1.437	0.990932
1.44	0.992192
1.443	0.993164
1.446	0.99363
1.449	0.993555
1.452	0.993108
1.455	0.992589
1.458	0.992327
1.461	0.992549
1.464	0.993298
1.467	0.994413
1.47	0.995593
1.473	0.99651
1.476	0.996931
1.479	0.996808
1.482	0.99629
1.485	0.995673
1.488	0.995288
1.491	0.995375
1.494	0.995994
1.497	0.997
1.5	0.998098
1.503	0.998958
1.506	0.999335
1.509	0.999162
1.512	0.998574
1.515	0.997861
1.518	0.997353
1.521	0.997306
1.524	0.997794
1.527	0.99869
1.53	0.999705
1.533	1.00051
1.536	1.00084
1.539	1.00062
1.542	0.99996
1.545	0.99915
1.548	0.998522
1.551	0.99834
1.554	0.998698
1.557	0.999481
1.56	1.00041
1.563	1.00115
1.566	1.00144
1.569	1.00117
1.572	1.00045
1.575	0.999541
1.578	0.998792
1.581	0.998476
1.584	0.998702
1.587	0.999373
1.59	1.00022
1.593	1.0009
1.596	1.00114
1.599	1.00082
1.602	1.00003
1.605	0.999032
1.608	0.998164
1.611	0.997714
1.614	0.997809
1.617	0.998367
1.62	0.999126
1.623	0.999748
1.626	0.999941
1.629	0.999572
1.632	0.998716
1.635	0.997624
1.638	0.996638
1.641	0.996055
1.644	0.996018
1.647	0.996462
1.65	0.997134
1.653	0.997693
1.656	0.99784
1.659	0.997423
1.662	0.996502
1.665	0.995319
1.668	0.994215
1.671	0.993499
1.674	0.993332
1.677	0.99366
1.68	0.994244
1.683	0.994741
1.686	0.99484
1.689	0.994376
1.692	0.99339
1.695	0.992117
