 x  	 F(x)  
0	0.0238329
0.003	0.0243239
0.006	0.0248848
0.009	0.0255171
0.012	0.0262224
0.015	0.0270021
0.018	0.0278577
0.021	0.0287907
0.024	0.0298024
0.027	0.0308943
0.03	0.0320676
0.033	0.0333237
0.036	0.0346637
0.039	0.0360889
0.042	0.0376002
0.045	0.0391987
0.048	0.0408854
0.051	0.0426611
0.054	0.0445265
0.057	0.0464823
0.06	0.0485291
0.063	0.0506672
0.066	0.0528971
0.069	0.0552188
0.072	0.0576325
0.075	0.060138
0.078	0.0627351
0.081	0.0654233
0.084	0.0682021
0.087	0.0710708
0.09	0.0740284
0.093	0.0770738
0.096	0.0802058
0.099	0.0834228
0.102	0.0867232
0.105	0.090105
0.108	0.0935662
0.111	0.0971045
0.114	0.100717
0.117	0.104402
0.12	0.108155
0.123	0.111974
0.126	0.115856
0.129	0.119796
0.132	0.123791
0.135	0.127837
0.138	0.13193
0.141	0.136066
0.144	0.140239
0.147	0.144446
0.15	0.148681
0.153	0.152939
0.156	0.157216
0.159	0.161505
0.162	0.165803
0.165	0.170103
0.168	0.174399
0.171	0.178688
0.174	0.182962
0.177	0.187216
0.18	0.191446
0.183	0.195645
0.186	0.199808
0.189	0.20393
0.192	0.208005
0.195	0.21203
0.198	0.215998
0.201	0.219906
0.204	0.223748
0.207	0.227521
0.21	0.231221
0.213	0.234843
0.216	0.238386
0.219	0.241845
0.222	0.245217
0.225	0.248501
0.228	0.251695
0.231	0.254796
0.234	0.257803
0.237	0.260715
0.24	0.263533
0.243	0.266255
0.246	0.268882
0.249	0.271414
0.252	0.273852
0.255	0.276199
0.258	0.278455
0.261	0.280623
0.264	0.282704
0.267	0.284703
0.27	0.286622
0.273	0.288465
0.276	0.290235
0.279	0.291936
0.282	0.293574
0.285	0.295151
0.288	0.296674
0.291	0.298147
0.294	0.299576
0.297	0.300965
0.3	0.30232
0.303	0.303647
0.306	0.304952
0.309	0.30624
0.312	0.307517
0.315	0.308789
0.318	0.310062
0.321	0.311341
0.324	0.312632
0.327	0.313941
0.33	0.315273
0.333	0.316634
0.336	0.31803
0.339	0.319464
0.342	0.320943
0.345	0.322471
0.348	0.324052
0.351	0.325691
0.354	0.327392
0.357	0.329159
0.36	0.330995
0.363	0.332904
0.366	0.334889
0.369	0.336952
0.372	0.339095
0.375	0.341321
0.378	0.343632
0.381	0.346029
0.384	0.348513
0.387	0.351084
0.39	0.353744
0.393	0.356492
0.396	0.359327
0.399	0.362251
0.402	0.365261
0.405	0.368356
0.408	0.371535
0.411	0.374797
0.414	0.378138
0.417	0.381556
0.42	0.38505
0.423	0.388615
0.426	0.392249
0.429	0.395949
0.432	0.39971
0.435	0.403529
0.438	0.407401
0.441	0.411323
0.444	0.41529
0.447	0.419298
0.45	0.423341
0.453	0.427416
0.456	0.431516
0.459	0.435638
0.462	0.439776
0.465	0.443925
0.468	0.44808
0.471	0.452236
0.474	0.456388
0.477	0.46053
0.48	0.464659
0.483	0.468768
0.486	0.472853
0.489	0.476909
0.492	0.480932
0.495	0.484917
0.498	0.488859
0.501	0.492755
0.504	0.496599
0.507	0.500389
0.51	0.504121
0.513	0.507791
0.516	0.511395
0.519	0.514931
0.522	0.518396
0.525	0.521787
0.528	0.525101
0.531	0.528337
0.534	0.531493
0.537	0.534566
0.54	0.537556
0.543	0.540462
0.546	0.543282
0.549	0.546016
0.552	0.548664
0.555	0.551226
0.558	0.553701
0.561	0.556091
0.564	0.558396
0.567	0.560617
0.57	0.562755
0.573	0.564812
0.576	0.566789
0.579	0.568689
0.582	0.570514
0.585	0.572267
0.588	0.573949
0.591	0.575563
0.594	0.577114
0.597	0.578604
0.6	0.580037
0.603	0.581415
0.606	0.582744
0.609	0.584026
0.612	0.585266
0.615	0.586469
0.618	0.587637
0.621	0.588777
0.624	0.589891
0.627	0.590985
0.63	0.592063
0.633	0.59313
0.636	0.594189
0.639	0.595247
0.642	0.596306
0.645	0.597373
0.648	0.598451
0.651	0.599544
0.654	0.600657
0.657	0.601794
0.66	0.602959
0.663	0.604156
0.666	0.605389
0.669	0.606662
0.672	0.607977
0.675	0.609339
0.678	0.61075
0.681	0.612213
0.684	0.613731
0.687	0.615306
0.69	0.61694
0.693	0.618636
0.696	0.620395
0.699	0.622219
0.702	0.624108
0.705	0.626064
0.708	0.628088
0.711	0.630179
0.714	0.632338
0.717	0.634564
0.72	0.636858
0.723	0.639218
0.726	0.641645
0.729	0.644136
0.732	0.64669
0.735	0.649306
0.738	0.651981
0.741	0.654715
0.744	0.657504
0.747	0.660346
0.75	0.663239
0.753	0.666179
0.756	0.669164
0.759	0.672191
0.762	0.675257
0.765	0.678358
0.768	0.68149
0.771	0.684651
0.774	0.687837
0.777	0.691043
0.78	0.694268
0.783	0.697506
0.786	0.700753
0.789	0.704008
0.792	0.707264
0.795	0.71052
0.798	0.71377
0.801	0.717012
0.804	0.720242
0.807	0.723456
0.81	0.726651
0.813	0.729823
0.816	0.73297
0.819	0.736087
0.822	0.739173
0.825	0.742223
0.828	0.745235
0.831	0.748206
0.834	0.751134
0.837	0.754016
0.84	0.75685
0.843	0.759633
0.846	0.762364
0.849	0.765041
0.852	0.767661
0.855	0.770224
0.858	0.772727
0.861	0.77517
0.864	0.777552
0.867	0.77987
0.87	0.782126
0.873	0.784318
0.876	0.786445
0.879	0.788507
0.882	0.790505
0.885	0.792438
0.888	0.794306
0.891	0.796109
0.894	0.797849
0.897	0.799526
0.9	0.80114
0.903	0.802693
0.906	0.804186
0.909	0.805619
0.912	0.806995
0.915	0.808314
0.918	0.809579
0.921	0.810792
0.924	0.811953
0.927	0.813066
0.93	0.814132
0.933	0.815154
0.936	0.816134
0.939	0.817074
0.942	0.817978
0.945	0.818847
0.948	0.819685
0.951	0.820493
0.954	0.821277
0.957	0.822037
0.96	0.822777
0.963	0.8235
0.966	0.82421
0.969	0.824909
0.972	0.8256
0.975	0.826286
0.978	0.826971
0.981	0.827658
0.984	0.828349
0.987	0.829048
0.99	0.829757
0.993	0.83048
0.996	0.831219
0.999	0.831977
1.002	0.832757
1.005	0.833561
1.008	0.834392
1.011	0.835253
1.014	0.836144
1.017	0.837069
1.02	0.83803
1.023	0.839027
1.026	0.840064
1.029	0.841141
1.032	0.84226
1.035	0.843421
1.038	0.844627
1.041	0.845877
1.044	0.847173
1.047	0.848514
1.05	0.849902
1.053	0.851335
1.056	0.852815
1.059	0.85434
1.062	0.855911
1.065	0.857526
1.068	0.859186
1.071	0.860888
1.074	0.862631
1.077	0.864415
1.08	0.866238
1.083	0.868099
1.086	0.869995
1.089	0.871925
1.092	0.873887
1.095	0.875878
1.098	0.877897
1.101	0.879941
1.104	0.882009
1.107	0.884096
1.11	0.886201
1.113	0.888322
1.116	0.890456
1.119	0.892599
1.122	0.89475
1.125	0.896906
1.128	0.899064
1.131	0.901221
1.134	0.903375
1.137	0.905522
1.14	0.907661
1.143	0.909788
1.146	0.911902
1.149	0.913999
1.152	0.916077
1.155	0.918133
1.158	0.920166
1.161	0.922173
1.164	0.924151
1.167	0.926099
1.17	0.928014
1.173	0.929895
1.176	0.931739
1.179	0.933545
1.182	0.935311
1.185	0.937036
1.188	0.938718
1.191	0.940355
1.194	0.941947
1.197	0.943492
1.2	0.944989
1.203	0.946437
1.206	0.947836
1.209	0.949184
1.212	0.950482
1.215	0.951727
1.218	0.952921
1.221	0.954063
1.224	0.955153
1.227	0.95619
1.23	0.957175
1.233	0.958108
1.236	0.958989
1.239	0.959819
1.242	0.960598
1.245	0.961327
1.248	0.962006
1.251	0.962637
1.254	0.963219
1.257	0.963756
1.26	0.964246
1.263	0.964693
1.266	0.965096
1.269	0.965458
1.272	0.965779
1.275	0.966063
1.278	0.966309
1.281	0.96652
1.284	0.966699
1.287	0.966845
1.29	0.966963
1.293	0.967053
1.296	0.967118
1.299	0.96716
1.302	0.96718
1.305	0.967183
1.308	0.967168
1.311	0.967139
1.314	0.967099
1.317	0.967049
1.32	0.966991
1.323	0.966929
1.326	0.966864
1.329	0.966799
1.332	0.966735
1.335	0.966676
1.338	0.966624
1.341	0.96658
1.344	0.966547
1.347	0.966526
1.35	0.966521
1.353	0.966533
1.356	0.966563
1.359	0.966614
1.362	0.966687
1.365	0.966785
1.368	0.966908
1.371	0.967057
1.374	0.967235
1.377	0.967442
1.38	0.96768
1.383	0.967949
1.386	0.968251
1.389	0.968585
1.392	0.968953
1.395	0.969355
1.398	0.969791
1.401	0.970262
1.404	0.970767
1.407	0.971307
1.41	0.971881
1.413	0.972488
1.416	0.973129
1.419	0.973802
1.422	0.974508
1.425	0.975244
1.428	0.976011
1.431	0.976807
1.434	0.97763
1.437	0.978479
1.44	0.979354
1.443	0.980252
1.446	0.981172
1.449	0.982113
1.452	0.983071
1.455	0.984047
1.458	0.985037
1.461	0.986039
1.464	0.987053
1.467	0.988075
1.47	0.989103
1.473	0.990137
1.476	0.991172
1.479	0.992207
1.482	0.993241
1.485	0.99427
1.488	0.995293
1.491	0.996307
1.494	0.997311
1.497	0.998301
1.5	0.999277
1.503	1.00024
1.506	1.00117
1.509	1.00209
1.512	1.00299
1.515	1.00386
1.518	1.0047
1.521	1.00551
1.524	1.0063
1.527	1.00705
