 x  	 F(x)  
0	0.0484617
0.003	0.0496163
0.006	0.0507901
0.009	0.0519835
0.012	0.0531967
0.015	0.0544299
0.018	0.0556833
0.021	0.0569572
0.024	0.0582518
0.027	0.0595674
0.03	0.0609042
0.033	0.0622623
0.036	0.0636421
0.039	0.0650438
0.042	0.0664675
0.045	0.0679136
0.048	0.0693821
0.051	0.0708735
0.054	0.0723877
0.057	0.0739252
0.06	0.075486
0.063	0.0770704
0.066	0.0786786
0.069	0.0803108
0.072	0.0819671
0.075	0.0836478
0.078	0.085353
0.081	0.087083
0.084	0.0888378
0.087	0.0906178
0.09	0.0924229
0.093	0.0942534
0.096	0.0961095
0.099	0.0979912
0.102	0.0998988
0.105	0.101832
0.108	0.103792
0.111	0.105778
0.114	0.10779
0.117	0.109828
0.12	0.111893
0.123	0.113984
0.126	0.116103
0.129	0.118247
0.132	0.120419
0.135	0.122617
0.138	0.124843
0.141	0.127095
0.144	0.129374
0.147	0.131679
0.15	0.134012
0.153	0.136372
0.156	0.138758
0.159	0.141171
0.162	0.143611
0.165	0.146078
0.168	0.148571
0.171	0.151091
0.174	0.153637
0.177	0.156209
0.18	0.158808
0.183	0.161432
0.186	0.164083
0.189	0.166759
0.192	0.169461
0.195	0.172188
0.198	0.17494
0.201	0.177716
0.204	0.180518
0.207	0.183344
0.21	0.186194
0.213	0.189068
0.216	0.191965
0.219	0.194886
0.222	0.19783
0.225	0.200796
0.228	0.203784
0.231	0.206794
0.234	0.209826
0.237	0.212879
0.24	0.215952
0.243	0.219046
0.246	0.22216
0.249	0.225293
0.252	0.228445
0.255	0.231615
0.258	0.234804
0.261	0.23801
0.264	0.241232
0.267	0.244472
0.27	0.247727
0.273	0.250998
0.276	0.254283
0.279	0.257583
0.282	0.260896
0.285	0.264223
0.288	0.267562
0.291	0.270913
0.294	0.274276
0.297	0.277649
0.3	0.281032
0.303	0.284425
0.306	0.287827
0.309	0.291237
0.312	0.294654
0.315	0.298079
0.318	0.30151
0.321	0.304946
0.324	0.308388
0.327	0.311833
0.33	0.315283
0.333	0.318735
0.336	0.32219
0.339	0.325647
0.342	0.329104
0.345	0.332562
0.348	0.33602
0.351	0.339477
0.354	0.342932
0.357	0.346385
0.36	0.349835
0.363	0.353282
0.366	0.356724
0.369	0.360162
0.372	0.363594
0.375	0.367021
0.378	0.370441
0.381	0.373853
0.384	0.377258
0.387	0.380655
0.39	0.384043
0.393	0.387421
0.396	0.390789
0.399	0.394147
0.402	0.397493
0.405	0.400828
0.408	0.404151
0.411	0.407462
0.414	0.410759
0.417	0.414043
0.42	0.417312
0.423	0.420568
0.426	0.423808
0.429	0.427033
0.432	0.430243
0.435	0.433436
0.438	0.436614
0.441	0.439774
0.444	0.442917
0.447	0.446043
0.45	0.449151
0.453	0.452241
0.456	0.455313
0.459	0.458366
0.462	0.4614
0.465	0.464416
0.468	0.467412
0.471	0.470388
0.474	0.473345
0.477	0.476282
0.48	0.4792
0.483	0.482097
0.486	0.484973
0.489	0.48783
0.492	0.490666
0.495	0.493481
0.498	0.496276
0.501	0.49905
0.504	0.501804
0.507	0.504536
0.51	0.507248
0.513	0.50994
0.516	0.51261
0.519	0.51526
0.522	0.51789
0.525	0.520498
0.528	0.523087
0.531	0.525654
0.534	0.528202
0.537	0.530729
0.54	0.533236
0.543	0.535723
0.546	0.53819
0.549	0.540638
0.552	0.543066
0.555	0.545475
0.558	0.547864
0.561	0.550234
0.564	0.552586
0.567	0.554919
0.57	0.557234
0.573	0.55953
0.576	0.561809
0.579	0.56407
0.582	0.566313
0.585	0.568539
0.588	0.570748
0.591	0.572941
0.594	0.575117
0.597	0.577277
0.6	0.579422
0.603	0.581551
0.606	0.583664
0.609	0.585763
0.612	0.587847
0.615	0.589917
0.618	0.591972
0.621	0.594015
0.624	0.596043
0.627	0.598059
0.63	0.600062
0.633	0.602053
0.636	0.604032
0.639	0.605999
0.642	0.607954
0.645	0.609899
0.648	0.611833
0.651	0.613757
0.654	0.615671
0.657	0.617575
0.66	0.61947
0.663	0.621356
0.666	0.623234
0.669	0.625103
0.672	0.626964
0.675	0.628818
0.678	0.630665
0.681	0.632505
0.684	0.634339
0.687	0.636166
0.69	0.637988
0.693	0.639804
0.696	0.641615
0.699	0.643422
0.702	0.645224
0.705	0.647022
0.708	0.648816
0.711	0.650607
0.714	0.652395
0.717	0.65418
0.72	0.655962
0.723	0.657743
0.726	0.659521
0.729	0.661298
0.732	0.663074
0.735	0.664849
0.738	0.666624
0.741	0.668398
0.744	0.670172
0.747	0.671946
0.75	0.673721
0.753	0.675496
0.756	0.677273
0.759	0.679051
0.762	0.68083
0.765	0.682612
