 x  	 F(x)  
0	0.0761126
0.003	0.0775666
0.006	0.0790526
0.009	0.0805712
0.012	0.0821226
0.015	0.0837074
0.018	0.0853259
0.021	0.0869785
0.024	0.0886656
0.027	0.0903875
0.03	0.0921446
0.033	0.0939372
0.036	0.0957656
0.039	0.0976302
0.042	0.0995311
0.045	0.101469
0.048	0.103443
0.051	0.105455
0.054	0.107503
0.057	0.109589
0.06	0.111713
0.063	0.113875
0.066	0.116074
0.069	0.118311
0.072	0.120586
0.075	0.122898
0.078	0.125249
0.081	0.127637
0.084	0.130062
0.087	0.132526
0.09	0.135026
0.093	0.137564
0.096	0.140138
0.099	0.142749
0.102	0.145396
0.105	0.148079
0.108	0.150797
0.111	0.15355
0.114	0.156338
0.117	0.15916
0.12	0.162015
0.123	0.164903
0.126	0.167823
0.129	0.170774
0.132	0.173757
0.135	0.176769
0.138	0.17981
0.141	0.18288
0.144	0.185978
0.147	0.189101
0.15	0.192251
0.153	0.195425
0.156	0.198623
0.159	0.201843
0.162	0.205085
0.165	0.208347
0.168	0.211628
0.171	0.214928
0.174	0.218244
0.177	0.221576
0.18	0.224923
0.183	0.228283
0.186	0.231655
0.189	0.235038
0.192	0.23843
0.195	0.24183
0.198	0.245238
0.201	0.248651
0.204	0.252068
0.207	0.255489
0.21	0.258911
0.213	0.262333
0.216	0.265755
0.219	0.269175
0.222	0.272591
0.225	0.276003
0.228	0.279409
0.231	0.282808
0.234	0.2862
0.237	0.289581
0.24	0.292953
0.243	0.296313
0.246	0.29966
0.249	0.302994
0.252	0.306314
0.255	0.309617
0.258	0.312905
0.261	0.316175
0.264	0.319427
0.267	0.32266
0.27	0.325873
0.273	0.329066
0.276	0.332238
0.279	0.335389
0.282	0.338517
0.285	0.341622
0.288	0.344704
0.291	0.347762
0.294	0.350796
0.297	0.353806
0.3	0.356791
0.303	0.359751
0.306	0.362685
0.309	0.365595
0.312	0.368479
0.315	0.371338
0.318	0.374171
0.321	0.376979
0.324	0.379761
0.327	0.382518
0.33	0.38525
0.333	0.387958
0.336	0.39064
0.339	0.393299
0.342	0.395933
0.345	0.398544
0.348	0.401131
0.351	0.403696
0.354	0.406239
0.357	0.408759
0.36	0.411259
0.363	0.413738
0.366	0.416197
0.369	0.418637
0.372	0.421057
0.375	0.42346
0.378	0.425846
0.381	0.428215
0.384	0.430568
0.387	0.432906
0.39	0.43523
0.393	0.437541
0.396	0.439839
0.399	0.442125
0.402	0.444401
0.405	0.446667
0.408	0.448924
0.411	0.451172
0.414	0.453414
0.417	0.455649
0.42	0.457879
0.423	0.460105
0.426	0.462327
0.429	0.464547
0.432	0.466765
0.435	0.468983
0.438	0.471201
0.441	0.47342
0.444	0.475642
0.447	0.477866
0.45	0.480095
0.453	0.482329
0.456	0.484569
0.459	0.486815
0.462	0.48907
0.465	0.491332
0.468	0.493604
0.471	0.495886
0.474	0.49818
0.477	0.500484
0.48	0.502802
0.483	0.505132
0.486	0.507477
0.489	0.509836
0.492	0.51221
0.495	0.5146
0.498	0.517006
0.501	0.51943
0.504	0.52187
0.507	0.524329
0.51	0.526805
0.513	0.529301
0.516	0.531815
0.519	0.534349
0.522	0.536902
0.525	0.539474
0.528	0.542067
0.531	0.54468
0.534	0.547312
0.537	0.549965
0.54	0.552637
0.543	0.555329
0.546	0.558041
0.549	0.560772
0.552	0.563522
0.555	0.566292
0.558	0.569079
0.561	0.571885
0.564	0.574709
0.567	0.577549
0.57	0.580406
0.573	0.583279
0.576	0.586167
0.579	0.589069
0.582	0.591985
0.585	0.594914
0.588	0.597855
0.591	0.600807
0.594	0.603769
0.597	0.60674
0.6	0.609719
0.603	0.612706
0.606	0.615699
0.609	0.618696
0.612	0.621698
0.615	0.624702
0.618	0.627707
0.621	0.630713
0.624	0.633719
0.627	0.636722
0.63	0.639721
0.633	0.642717
0.636	0.645707
0.639	0.648689
0.642	0.651664
0.645	0.65463
0.648	0.657585
0.651	0.660528
0.654	0.663459
0.657	0.666376
0.66	0.669278
0.663	0.672163
