 x 	V[Y|X = x] 
0	0.0199253
0.003	0.0200245
0.006	0.0202419
0.009	0.0205742
0.012	0.0210164
0.015	0.021561
0.018	0.0221986
0.021	0.0229171
0.024	0.0237021
0.027	0.0245371
0.03	0.0254032
0.033	0.0262796
0.036	0.0271445
0.039	0.0279749
0.042	0.0287475
0.045	0.0294398
0.048	0.0300306
0.051	0.0305006
0.054	0.0308336
0.057	0.0310172
0.06	0.0310429
0.063	0.0309072
0.066	0.0306114
0.069	0.0301615
0.072	0.0295683
0.075	0.0288468
0.078	0.0280156
0.081	0.0270963
0.084	0.0261126
0.087	0.0250894
0.09	0.0240525
0.093	0.0230273
0.096	0.0220383
0.099	0.0211088
0.102	0.0202604
0.105	0.0195122
0.108	0.0188811
0.111	0.0183811
0.114	0.0180235
0.117	0.0178164
0.12	0.0177646
0.123	0.01787
0.126	0.0181307
0.129	0.0185418
0.132	0.0190947
0.135	0.0197776
0.138	0.0205757
0.141	0.021471
0.144	0.0224431
0.147	0.0234692
0.15	0.024525
0.153	0.0255848
0.156	0.0266228
0.159	0.0276133
0.162	0.0285316
0.165	0.0293547
0.168	0.0300621
0.171	0.0306363
0.174	0.0310633
0.177	0.0313332
0.18	0.0314401
0.183	0.0313824
0.186	0.0311627
0.189	0.0307877
0.192	0.0302677
0.195	0.0296161
0.198	0.0288492
0.201	0.0279854
0.204	0.0270448
0.207	0.0260485
0.21	0.0250179
0.213	0.0239745
0.216	0.0229396
0.219	0.0219332
0.222	0.0209746
0.225	0.0200813
0.228	0.0192695
0.231	0.0185533
0.234	0.017945
0.237	0.0174549
0.24	0.0170909
0.243	0.0168589
0.246	0.0167623
0.249	0.0168022
0.252	0.0169773
0.255	0.0172837
0.258	0.0177151
0.261	0.0182627
0.264	0.018915
0.267	0.0196585
0.27	0.0204772
0.273	0.0213531
0.276	0.0222664
0.279	0.0231959
0.282	0.0241195
0.285	0.0250143
0.288	0.0258575
0.291	0.0266268
0.294	0.0273012
0.297	0.0278614
0.3	0.0282908
0.303	0.0285754
0.306	0.0287052
0.309	0.0286738
0.312	0.0284795
0.315	0.0281249
0.318	0.0276172
0.321	0.0269682
0.324	0.0261937
0.327	0.0253137
0.33	0.0243511
0.333	0.0233319
0.336	0.0222837
0.339	0.0212357
0.342	0.0202171
0.345	0.0192568
0.348	0.0183823
0.351	0.0176191
0.354	0.0169898
0.357	0.0165134
0.36	0.0162047
0.363	0.0160739
0.366	0.0161262
0.369	0.0163615
0.372	0.0167743
0.375	0.017354
0.378	0.018085
0.381	0.0189473
0.384	0.019917
0.387	0.0209672
0.39	0.0220692
0.393	0.0231928
0.396	0.0243079
0.399	0.0253853
0.402	0.0263976
0.405	0.02732
0.408	0.0281311
0.411	0.0288131
0.414	0.0293523
0.417	0.0297395
0.42	0.0299695
0.423	0.0300414
0.426	0.0299582
0.429	0.0297261
0.432	0.0293547
0.435	0.0288561
0.438	0.0282444
0.441	0.0275356
0.444	0.0267469
0.447	0.0258961
0.45	0.0250016
0.453	0.0240819
0.456	0.0231552
0.459	0.0222392
0.462	0.0213511
0.465	0.0205072
0.468	0.0197225
0.471	0.0190113
0.474	0.0183862
0.477	0.0178585
0.48	0.017438
0.483	0.0171325
0.486	0.0169482
0.489	0.016889
0.492	0.0169568
0.495	0.017151
0.498	0.0174687
0.501	0.017904
0.504	0.0184488
0.507	0.0190921
0.51	0.0198202
0.513	0.0206171
0.516	0.0214647
0.519	0.0223428
0.522	0.0232301
0.525	0.0241041
0.528	0.0249424
0.531	0.025723
0.534	0.0264248
0.537	0.0270289
0.54	0.0275187
0.543	0.0278807
0.546	0.0281049
0.549	0.0281851
0.552	0.0281194
0.555	0.0279097
0.558	0.0275619
0.561	0.0270856
0.564	0.0264935
0.567	0.0258012
0.57	0.0250264
0.573	0.0241883
0.576	0.0233072
0.579	0.0224036
0.582	0.0214979
0.585	0.0206097
0.588	0.0197574
0.591	0.018958
0.594	0.0182266
0.597	0.0175763
0.6	0.0170178
0.603	0.0165599
0.606	0.0162086
0.609	0.0159678
0.612	0.0158391
0.615	0.0158216
0.618	0.0159125
0.621	0.0161066
0.624	0.0163968
0.627	0.0167741
0.63	0.017228
0.633	0.017746
0.636	0.0183147
0.639	0.0189192
0.642	0.0195441
0.645	0.0201733
0.648	0.0207902
0.651	0.0213789
0.654	0.0219235
0.657	0.0224093
0.66	0.022823
0.663	0.0231528
0.666	0.0233892
0.669	0.0235248
0.672	0.023555
0.675	0.023478
0.678	0.0232949
0.681	0.0230096
0.684	0.0226286
0.687	0.0221612
0.69	0.021619
0.693	0.0210153
0.696	0.0203651
0.699	0.0196845
0.702	0.0189902
0.705	0.0182991
0.708	0.0176278
0.711	0.0169923
0.714	0.0164074
0.717	0.0158868
0.72	0.0154424
0.723	0.015084
0.726	0.0148198
0.729	0.0146556
0.732	0.014595
0.735	0.0146394
0.738	0.0147879
0.741	0.0150376
0.744	0.0153832
0.747	0.0158178
0.75	0.0163323
0.753	0.016916
0.756	0.0175567
0.759	0.0182412
0.762	0.0189547
0.765	0.0196822
0.768	0.0204079
0.771	0.0211158
0.774	0.0217904
0.777	0.0224164
0.78	0.0229795
0.783	0.0234666
0.786	0.0238663
0.789	0.0241689
0.792	0.0243667
0.795	0.0244546
0.798	0.0244299
0.801	0.0242926
0.804	0.0240453
0.807	0.0236931
0.81	0.0232439
0.813	0.0227078
0.816	0.0220968
0.819	0.021425
0.822	0.0207079
0.825	0.0199619
0.828	0.0192042
0.831	0.0184521
0.834	0.0177227
0.837	0.0170326
0.84	0.0163973
0.843	0.0158308
0.846	0.0153456
0.849	0.014952
0.852	0.0146582
0.855	0.0144699
0.858	0.0143904
0.861	0.0144203
0.864	0.0145576
0.867	0.0147978
0.87	0.0151339
0.873	0.0155567
0.876	0.0160548
0.879	0.0166149
0.882	0.0172225
0.885	0.0178616
0.888	0.0185155
0.891	0.0191674
0.894	0.0198003
0.897	0.0203978
0.9	0.0209444
0.903	0.0214262
0.906	0.0218307
0.909	0.0221477
0.912	0.0223696
0.915	0.0224908
0.918	0.0225089
0.921	0.022424
0.924	0.022239
0.927	0.0219592
0.93	0.0215925
0.933	0.0211489
0.936	0.02064
0.939	0.0200791
0.942	0.0194806
0.945	0.0188594
0.948	0.0182309
0.951	0.0176104
0.954	0.0170128
0.957	0.0164521
0.96	0.0159414
0.963	0.0154922
0.966	0.0151147
0.969	0.0148172
0.972	0.0146061
0.975	0.0144859
0.978	0.0144587
0.981	0.0145249
0.984	0.0146825
0.987	0.0149276
0.99	0.0152541
0.993	0.0156543
0.996	0.0161188
0.999	0.0166364
1.002	0.017195
1.005	0.0177811
1.008	0.0183807
1.011	0.0189794
1.014	0.0195626
1.017	0.0201162
1.02	0.0206264
1.023	0.0210809
1.026	0.0214684
1.029	0.0217794
1.032	0.0220064
1.035	0.0221441
1.038	0.0221894
1.041	0.0221418
1.044	0.0220031
1.047	0.0217776
1.05	0.0214717
1.053	0.0210938
1.056	0.0206541
1.059	0.0201644
1.062	0.0196373
1.065	0.0190864
1.068	0.0185256
1.071	0.0179686
1.074	0.017429
1.077	0.0169197
1.08	0.0164524
1.083	0.0160378
1.086	0.0156852
1.089	0.0154023
1.092	0.0151949
1.095	0.0150672
1.098	0.0150217
1.101	0.0150588
1.104	0.0151773
1.107	0.0153744
1.11	0.0156453
1.113	0.0159842
1.116	0.0163836
1.119	0.0168348
1.122	0.0173282
1.125	0.0178533
1.128	0.018399
1.131	0.0189535
1.134	0.019505
1.137	0.0200417
1.14	0.0205519
1.143	0.0210244
1.146	0.0214487
1.149	0.021815
1.152	0.022115
1.155	0.0223414
1.158	0.0224886
1.161	0.0225525
1.164	0.0225311
1.167	0.0224241
1.17	0.0222332
1.173	0.021962
1.176	0.0216162
1.179	0.0212032
1.182	0.0207321
1.185	0.0202135
1.188	0.0196592
1.191	0.019082
1.194	0.0184954
1.197	0.017913
1.2	0.0173486
1.203	0.0168157
1.206	0.0163268
1.209	0.0158937
1.212	0.0155267
1.215	0.0152346
1.218	0.0150246
1.221	0.0149019
1.224	0.0148696
1.227	0.0149289
1.23	0.0150788
1.233	0.0153163
1.236	0.0156363
1.239	0.0160321
1.242	0.0164951
1.245	0.0170151
1.248	0.0175809
1.251	0.01818
1.254	0.0187991
1.257	0.0194244
1.26	0.020042
1.263	0.0206379
1.266	0.0211984
1.269	0.0217107
1.272	0.0221628
1.275	0.0225439
1.278	0.022845
1.281	0.0230587
1.284	0.0231797
1.287	0.0232049
1.29	0.0231334
1.293	0.0229671
1.296	0.02271
1.299	0.0223687
1.302	0.021952
1.305	0.0214709
1.308	0.0209382
1.311	0.0203681
1.314	0.0197761
1.317	0.0191784
1.32	0.0185914
1.323	0.0180315
1.326	0.0175142
1.329	0.017054
1.332	0.0166641
1.335	0.0163557
1.338	0.0161377
1.341	0.016017
1.344	0.0159978
1.347	0.0160818
1.35	0.0162679
1.353	0.0165528
1.356	0.0169308
1.359	0.0173938
1.362	0.0179321
1.365	0.0185343
1.368	0.0191875
1.371	0.0198781
1.374	0.0205915
1.377	0.0213131
1.38	0.0220279
1.383	0.0227214
1.386	0.0233798
1.389	0.0239896
1.392	0.0245389
1.395	0.0250166
1.398	0.0254132
1.401	0.0257208
1.404	0.0259331
1.407	0.0260458
1.41	0.0260562
1.413	0.0259637
1.416	0.0257699
1.419	0.0254779
1.422	0.0250933
1.425	0.0246232
1.428	0.0240768
1.431	0.0234648
1.434	0.0227996
1.437	0.0220949
1.44	0.0213654
1.443	0.0206267
1.446	0.0198949
1.449	0.0191862
1.452	0.0185165
1.455	0.0179012
1.458	0.0173545
1.461	0.0168891
