 x 	V[Y|X = x] 
0	11.6046
0.003	11.5186
0.006	11.4344
0.009	11.3522
0.012	11.2718
0.015	11.1933
0.018	11.1166
0.021	11.0418
0.024	10.9689
0.027	10.8979
0.03	10.8286
0.033	10.7613
0.036	10.6957
0.039	10.632
0.042	10.5701
0.045	10.51
0.048	10.4517
0.051	10.3951
0.054	10.3403
0.057	10.2872
0.06	10.2359
0.063	10.1863
0.066	10.1384
0.069	10.0921
0.072	10.0475
0.075	10.0046
0.078	9.96323
0.081	9.92349
0.084	9.88534
0.087	9.84875
0.09	9.8137
0.093	9.78017
0.096	9.74814
0.099	9.71758
0.102	9.68848
0.105	9.6608
0.108	9.63454
0.111	9.60966
0.114	9.58613
0.117	9.56395
0.12	9.54307
0.123	9.52349
0.126	9.50516
0.129	9.48807
0.132	9.47218
0.135	9.45748
0.138	9.44393
0.141	9.43152
0.144	9.4202
0.147	9.40995
0.15	9.40075
0.153	9.39257
0.156	9.38537
0.159	9.37913
0.162	9.37381
0.165	9.36939
0.168	9.36584
0.171	9.36312
0.174	9.36121
0.177	9.36007
0.18	9.35967
0.183	9.35997
0.186	9.36096
0.189	9.36259
0.192	9.36483
0.195	9.36764
0.198	9.37101
0.201	9.37488
0.204	9.37924
0.207	9.38404
0.21	9.38926
0.213	9.39486
0.216	9.4008
0.219	9.40706
0.222	9.4136
0.225	9.4204
0.228	9.42741
0.231	9.43461
0.234	9.44196
0.237	9.44944
0.24	9.45702
0.243	9.46467
0.246	9.47235
0.249	9.48004
0.252	9.48772
0.255	9.49535
0.258	9.50291
0.261	9.51038
0.264	9.51774
0.267	9.52495
0.27	9.532
0.273	9.53888
0.276	9.54555
0.279	9.552
0.282	9.55822
0.285	9.56419
0.288	9.56989
0.291	9.57532
0.294	9.58045
0.297	9.58529
0.3	9.58981
0.303	9.59402
0.306	9.5979
0.309	9.60145
0.312	9.60467
0.315	9.60755
0.318	9.6101
0.321	9.6123
0.324	9.61416
0.327	9.61568
0.33	9.61686
0.333	9.61772
0.336	9.61824
0.339	9.61844
0.342	9.61832
0.345	9.61789
0.348	9.61716
0.351	9.61612
0.354	9.6148
0.357	9.6132
0.36	9.61133
0.363	9.6092
0.366	9.60681
0.369	9.60418
0.372	9.60133
0.375	9.59825
0.378	9.59496
0.381	9.59147
0.384	9.58779
0.387	9.58393
0.39	9.5799
0.393	9.5757
0.396	9.57136
0.399	9.56687
0.402	9.56225
0.405	9.5575
0.408	9.55264
0.411	9.54766
0.414	9.54258
0.417	9.53741
0.42	9.53214
0.423	9.52679
0.426	9.52135
0.429	9.51584
0.432	9.51026
0.435	9.50461
0.438	9.49889
0.441	9.49311
0.444	9.48726
0.447	9.48136
0.45	9.47539
0.453	9.46936
0.456	9.46328
0.459	9.45713
0.462	9.45092
0.465	9.44465
0.468	9.43831
0.471	9.43191
0.474	9.42544
0.477	9.4189
0.48	9.41228
0.483	9.40559
0.486	9.39881
0.489	9.39196
0.492	9.38501
0.495	9.37798
0.498	9.37086
0.501	9.36363
0.504	9.35631
0.507	9.34889
0.51	9.34136
0.513	9.33372
0.516	9.32597
0.519	9.31811
0.522	9.31013
0.525	9.30204
0.528	9.29382
0.531	9.28548
0.534	9.27702
0.537	9.26843
0.54	9.25972
0.543	9.25088
0.546	9.24192
0.549	9.23284
0.552	9.22363
0.555	9.2143
0.558	9.20484
0.561	9.19527
0.564	9.18558
0.567	9.17577
0.57	9.16585
0.573	9.15582
0.576	9.14569
0.579	9.13545
0.582	9.12511
0.585	9.11468
0.588	9.10415
0.591	9.09354
0.594	9.08285
0.597	9.07207
0.6	9.06123
0.603	9.05032
0.606	9.03935
0.609	9.02832
0.612	9.01724
0.615	9.00611
0.618	8.99494
0.621	8.98374
0.624	8.97251
0.627	8.96125
0.63	8.94997
0.633	8.93867
0.636	8.92736
0.639	8.91605
0.642	8.90474
0.645	8.89343
0.648	8.88213
0.651	8.87084
0.654	8.85956
0.657	8.8483
0.66	8.83707
0.663	8.82586
0.666	8.81468
0.669	8.80353
0.672	8.79241
0.675	8.78133
0.678	8.77029
0.681	8.75929
0.684	8.74833
0.687	8.7374
0.69	8.72653
0.693	8.71569
0.696	8.7049
0.699	8.69415
0.702	8.68345
0.705	8.67279
0.708	8.66218
0.711	8.65161
0.714	8.64108
0.717	8.63059
0.72	8.62015
0.723	8.60974
0.726	8.59937
0.729	8.58904
0.732	8.57874
0.735	8.56848
0.738	8.55825
0.741	8.54805
0.744	8.53787
0.747	8.52773
0.75	8.51761
0.753	8.50751
0.756	8.49743
0.759	8.48737
0.762	8.47733
0.765	8.4673
0.768	8.45729
0.771	8.44729
0.774	8.43731
0.777	8.42733
0.78	8.41736
0.783	8.40739
0.786	8.39744
0.789	8.38748
0.792	8.37753
0.795	8.36759
0.798	8.35764
0.801	8.3477
0.804	8.33776
0.807	8.32781
0.81	8.31787
0.813	8.30793
0.816	8.29799
0.819	8.28805
0.822	8.27812
0.825	8.26818
0.828	8.25825
0.831	8.24832
0.834	8.23839
0.837	8.22847
0.84	8.21855
0.843	8.20864
0.846	8.19874
0.849	8.18885
0.852	8.17897
0.855	8.1691
0.858	8.15924
0.861	8.14941
0.864	8.13958
0.867	8.12978
0.87	8.12
0.873	8.11024
0.876	8.1005
0.879	8.09079
0.882	8.08111
0.885	8.07146
0.888	8.06184
0.891	8.05225
0.894	8.0427
0.897	8.03318
0.9	8.0237
0.903	8.01426
0.906	8.00487
0.909	7.99552
0.912	7.98621
0.915	7.97695
0.918	7.96774
0.921	7.95857
0.924	7.94946
0.927	7.9404
0.93	7.93139
0.933	7.92244
0.936	7.91354
0.939	7.90469
0.942	7.89591
0.945	7.88718
0.948	7.87851
0.951	7.86989
0.954	7.86134
0.957	7.85285
0.96	7.84441
