 x  	 F(x)  
0	0.00245454
0.003	0.00383842
0.006	0.00577341
0.009	0.00832811
0.012	0.0114603
0.015	0.0149777
0.018	0.0185755
0.021	0.021955
0.024	0.0249471
0.027	0.0275595
0.03	0.0299429
0.033	0.0323219
0.036	0.0349234
0.039	0.0379072
0.042	0.0412993
0.045	0.0449587
0.048	0.0486212
0.051	0.0520206
0.054	0.055011
0.057	0.0576138
0.06	0.0599863
0.063	0.0623549
0.066	0.0649461
0.069	0.0679178
0.072	0.0712936
0.075	0.0749318
0.078	0.0785703
0.081	0.0819469
0.084	0.0849193
0.087	0.0875102
0.09	0.0898758
0.093	0.0922406
0.096	0.0948289
0.099	0.0977971
0.102	0.101168
0.105	0.1048
0.108	0.108432
0.111	0.111801
0.114	0.114766
0.117	0.11735
0.12	0.119709
0.123	0.122067
0.126	0.124646
0.129	0.127604
0.132	0.130963
0.135	0.134582
0.138	0.1382
0.141	0.141557
0.144	0.144511
0.147	0.147085
0.15	0.149434
0.153	0.151782
0.156	0.15435
0.159	0.157295
0.162	0.16064
0.165	0.164242
0.168	0.167844
0.171	0.171186
0.174	0.174126
0.177	0.176687
0.18	0.179025
0.183	0.18136
0.186	0.183915
0.189	0.186845
0.192	0.190171
0.195	0.193755
0.198	0.197337
0.201	0.20066
0.204	0.203584
0.207	0.20613
0.21	0.208454
0.213	0.210776
0.216	0.213315
0.219	0.216226
0.222	0.219532
0.225	0.223093
0.228	0.226652
0.231	0.229954
0.234	0.232858
0.237	0.235388
0.24	0.237696
0.243	0.240001
0.246	0.242523
0.249	0.245413
0.252	0.248695
0.255	0.25223
0.258	0.255763
0.261	0.259041
0.264	0.261923
0.267	0.264434
0.27	0.266724
0.273	0.269011
0.276	0.271512
0.279	0.274379
0.282	0.277634
0.285	0.28114
0.288	0.284644
0.291	0.287894
0.294	0.290753
0.297	0.293242
0.3	0.295512
0.303	0.297779
0.306	0.300257
0.309	0.303098
0.312	0.306323
0.315	0.309797
0.318	0.313269
0.321	0.316489
0.324	0.319321
0.327	0.321786
0.33	0.324034
0.333	0.326278
0.336	0.328732
0.339	0.331544
0.342	0.334737
0.345	0.338175
0.348	0.341612
0.351	0.344799
0.354	0.347601
0.357	0.350041
0.36	0.352264
0.363	0.354484
0.366	0.356911
0.369	0.359692
0.372	0.362849
0.375	0.366249
0.378	0.369648
0.381	0.372799
0.384	0.375569
0.387	0.37798
0.39	0.380178
0.393	0.382371
0.396	0.384768
0.399	0.387516
0.402	0.390635
0.405	0.393994
0.408	0.39735
0.411	0.400463
0.414	0.403199
0.417	0.405579
0.42	0.407749
0.423	0.409914
0.426	0.41228
0.429	0.414991
0.432	0.418069
0.435	0.421383
0.438	0.424696
0.441	0.427766
0.444	0.430465
0.447	0.432814
0.45	0.434953
0.453	0.437087
0.456	0.43942
0.459	0.442093
0.462	0.445127
0.465	0.448394
0.468	0.451659
0.471	0.454685
0.474	0.457345
0.477	0.459659
0.48	0.461766
0.483	0.463868
0.486	0.466165
0.489	0.468796
0.492	0.471784
0.495	0.475001
0.498	0.478215
0.501	0.481194
0.504	0.483813
0.507	0.48609
0.51	0.488163
0.513	0.490231
0.516	0.49249
0.519	0.495078
0.522	0.498016
0.525	0.50118
0.528	0.504341
