 x 	V[Y|X = x] 
0	0.154409
0.003	0.155825
0.006	0.15722
0.009	0.158595
0.012	0.159949
0.015	0.161283
0.018	0.162596
0.021	0.163889
0.024	0.165161
0.027	0.166413
0.03	0.167644
0.033	0.168855
0.036	0.170045
0.039	0.171215
0.042	0.172364
0.045	0.173493
0.048	0.174601
0.051	0.175689
0.054	0.176756
0.057	0.177802
0.06	0.178828
0.063	0.179834
0.066	0.180819
0.069	0.181783
0.072	0.182727
0.075	0.18365
0.078	0.184553
0.081	0.185435
0.084	0.186297
0.087	0.187138
0.09	0.187958
0.093	0.188758
0.096	0.189538
0.099	0.190297
0.102	0.191035
0.105	0.191752
0.108	0.19245
0.111	0.193126
0.114	0.193782
0.117	0.194417
0.12	0.195032
0.123	0.195626
0.126	0.1962
0.129	0.196753
0.132	0.197285
0.135	0.197797
0.138	0.198288
0.141	0.198759
0.144	0.199209
0.147	0.199638
0.15	0.200047
0.153	0.200435
0.156	0.200802
0.159	0.201149
0.162	0.201475
0.165	0.201781
0.168	0.202066
0.171	0.20233
0.174	0.202574
0.177	0.202797
0.18	0.203
0.183	0.203181
0.186	0.203342
0.189	0.203483
0.192	0.203603
0.195	0.203702
0.198	0.203781
0.201	0.203838
0.204	0.203876
0.207	0.203892
0.21	0.203888
0.213	0.203863
0.216	0.203818
0.219	0.203752
0.222	0.203665
0.225	0.203557
0.228	0.203429
0.231	0.20328
0.234	0.203111
0.237	0.202921
0.24	0.20271
0.243	0.202478
0.246	0.202226
0.249	0.201953
0.252	0.201659
0.255	0.201344
0.258	0.201009
0.261	0.200653
0.264	0.200277
0.267	0.19988
0.27	0.199462
0.273	0.199023
0.276	0.198563
0.279	0.198083
0.282	0.197582
0.285	0.197061
0.288	0.196518
0.291	0.195955
0.294	0.195371
0.297	0.194767
0.3	0.194141
0.303	0.193495
0.306	0.192829
0.309	0.192141
0.312	0.191433
0.315	0.190703
0.318	0.189954
0.321	0.189183
0.324	0.188392
0.327	0.187579
0.33	0.186746
0.333	0.185893
0.336	0.185018
0.339	0.184123
0.342	0.183207
0.345	0.18227
0.348	0.181312
0.351	0.180334
0.354	0.179335
0.357	0.178315
0.36	0.177274
0.363	0.176212
0.366	0.17513
0.369	0.174027
0.372	0.172903
0.375	0.171758
0.378	0.170592
0.381	0.169406
0.384	0.168198
0.387	0.16697
0.39	0.165721
0.393	0.164452
0.396	0.163161
0.399	0.16185
0.402	0.160517
0.405	0.159164
0.408	0.15779
0.411	0.156395
0.414	0.15498
0.417	0.153543
0.42	0.15209
0.423	0.150623
0.426	0.149604
0.429	0.150098
0.432	0.150772
0.435	0.151436
0.438	0.15209
0.441	0.152735
0.444	0.15337
0.447	0.153995
0.45	0.15461
0.453	0.155216
0.456	0.155811
0.459	0.156397
0.462	0.156974
0.465	0.15754
0.468	0.158097
0.471	0.158644
0.474	0.159181
0.477	0.159708
0.48	0.160226
0.483	0.160734
0.486	0.161232
0.489	0.16172
0.492	0.162199
0.495	0.162668
0.498	0.163127
0.501	0.163576
0.504	0.164015
0.507	0.164445
0.51	0.164865
0.513	0.165275
0.516	0.165676
0.519	0.166067
0.522	0.166448
0.525	0.166819
0.528	0.16718
0.531	0.167532
0.534	0.167874
0.537	0.168206
0.54	0.168529
0.543	0.168842
0.546	0.169144
0.549	0.169438
0.552	0.169721
0.555	0.169995
0.558	0.170259
0.561	0.170513
0.564	0.170758
0.567	0.170992
