 x 	V[Y|X = x] 
0	0.051407
0.003	0.0516097
0.006	0.0518567
0.009	0.0521479
0.012	0.0524833
0.015	0.0528628
0.018	0.0532858
0.021	0.0537521
0.024	0.0542611
0.027	0.0548119
0.03	0.0554039
0.033	0.0560359
0.036	0.0567068
0.039	0.0574153
0.042	0.05816
0.045	0.0589392
0.048	0.0597512
0.051	0.060594
0.054	0.0614655
0.057	0.0623635
0.06	0.0632855
0.063	0.0642289
0.066	0.0651911
0.069	0.0661692
0.072	0.0671602
0.075	0.0681609
0.078	0.0691681
0.081	0.0701784
0.084	0.0711885
0.087	0.0721946
0.09	0.0731934
0.093	0.0741811
0.096	0.0751539
0.099	0.0761084
0.102	0.0770406
0.105	0.077947
0.108	0.0788239
0.111	0.0796677
0.114	0.080475
0.117	0.0812424
0.12	0.0819666
0.123	0.0826446
0.126	0.0832732
0.129	0.0838499
0.132	0.084372
0.135	0.0848373
0.138	0.0852435
0.141	0.0855889
0.144	0.0858718
0.147	0.086091
0.15	0.0862453
0.153	0.0863342
0.156	0.086357
0.159	0.0863137
0.162	0.0862045
0.165	0.0860296
0.168	0.08579
0.171	0.0854865
0.174	0.0851205
0.177	0.0846936
0.18	0.0842075
0.183	0.0836644
0.186	0.0830666
0.189	0.0824165
0.192	0.0817168
0.195	0.0809705
0.198	0.0801806
0.201	0.0793503
0.204	0.0784829
0.207	0.0775818
0.21	0.0766505
0.213	0.0756925
0.216	0.0747115
0.219	0.0737112
0.222	0.0726951
0.225	0.0716669
0.228	0.0706302
0.231	0.0695887
0.234	0.0685458
0.237	0.0675051
0.24	0.0664699
0.243	0.0654436
0.246	0.0644294
0.249	0.0634305
0.252	0.0624498
0.255	0.0614903
0.258	0.0605548
0.261	0.0596461
0.264	0.0587665
0.267	0.0579186
0.27	0.0571048
0.273	0.0563271
0.276	0.0555876
0.279	0.0548883
0.282	0.0542309
0.285	0.0536172
0.288	0.0530486
0.291	0.0525266
0.294	0.0520526
0.297	0.0516276
0.3	0.0512527
0.303	0.0509289
0.306	0.050657
0.309	0.0504376
0.312	0.0502715
0.315	0.0501589
0.318	0.0501004
0.321	0.050096
0.324	0.050146
0.327	0.0502503
0.33	0.0504088
0.333	0.0506213
0.336	0.0508873
0.339	0.0512065
0.342	0.0515782
0.345	0.0520017
0.348	0.0524761
0.351	0.0530005
0.354	0.0535738
0.357	0.0541946
0.36	0.0548616
0.363	0.0555734
0.366	0.0563283
0.369	0.0571244
0.372	0.05796
0.375	0.0588328
0.378	0.0597408
0.381	0.0606817
0.384	0.0616529
0.387	0.0626518
0.39	0.0636759
0.393	0.0647221
0.396	0.0657876
0.399	0.0668693
0.402	0.0679639
0.405	0.0690681
0.408	0.0701787
0.411	0.0712919
0.414	0.0724044
0.417	0.0735125
0.42	0.0746124
0.423	0.0757004
0.426	0.0767727
0.429	0.0778255
0.432	0.078855
0.435	0.0798574
0.438	0.080829
0.441	0.0817659
0.444	0.0826645
0.447	0.0835212
0.45	0.0843324
0.453	0.0850949
0.456	0.0858053
0.459	0.0864604
0.462	0.0870574
0.465	0.0875934
0.468	0.0880659
0.471	0.0884726
0.474	0.0888113
0.477	0.0890801
0.48	0.0892775
0.483	0.0894021
0.486	0.0894529
0.489	0.0894291
0.492	0.0893304
0.495	0.0891565
0.498	0.0889077
0.501	0.0885846
0.504	0.0881879
0.507	0.087719
0.51	0.0871792
0.513	0.0865703
0.516	0.0858947
0.519	0.0851546
0.522	0.0843528
0.525	0.0834924
0.528	0.0825766
0.531	0.081609
0.534	0.0805934
0.537	0.0795337
0.54	0.0784342
0.543	0.0772992
0.546	0.0761333
0.549	0.0749412
0.552	0.0737275
0.555	0.0724972
0.558	0.0712551
0.561	0.0700063
0.564	0.0687556
0.567	0.067508
0.57	0.0662684
0.573	0.0650417
0.576	0.0638326
0.579	0.0626458
0.582	0.0614857
0.585	0.0603567
0.588	0.0592632
0.591	0.058209
0.594	0.0571981
0.597	0.056234
0.6	0.0553201
0.603	0.0544597
0.606	0.0536556
0.609	0.0529105
0.612	0.0522267
0.615	0.0516065
0.618	0.0510516
0.621	0.0505638
0.624	0.0501442
0.627	0.0497939
0.63	0.0495137
0.633	0.0493041
0.636	0.0491653
0.639	0.0490973
0.642	0.0490997
0.645	0.0491719
0.648	0.0493132
0.651	0.0495224
0.654	0.0497983
0.657	0.0501393
0.66	0.0505436
0.663	0.0510092
0.666	0.051534
0.669	0.0521155
0.672	0.0527511
0.675	0.0534381
0.678	0.0541735
0.681	0.0549542
0.684	0.055777
0.687	0.0566385
0.69	0.0575351
0.693	0.0584632
0.696	0.0594191
